date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,Statement_Type,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-09-28,AAPL,USD,0000320193,2024-11-01,2024-11-01 06:01:36,2024,FY,391035000000.0,210352000000.0,180683000000.0,0.4620634982,31370000000.0,0.0,0.0,26097000000.0,0.0,57467000000.0,267819000000.0,0.0,0.0,11445000000.0,134661000000.0,0.3443707085,123216000000.0,0.3151022287,269000000.0,123485000000.0,0.3157901467,29749000000.0,93736000000.0,0.2397125577,6.11,6.08,15343783000.0,15408095000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/0000320193-24-000123-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-30,AAPL,USD,0000320193,2023-11-03,2023-11-02 18:08:27,2023,FY,383285000000.0,214137000000.0,169148000000.0,0.4413112958,29915000000.0,0.0,0.0,24932000000.0,382000000.0,54847000000.0,268984000000.0,3750000000.0,3933000000.0,11519000000.0,125820000000.0,0.3282674772,114301000000.0,0.2982141227,-565000000.0,113736000000.0,0.2967400237,16741000000.0,96995000000.0,0.2530623426,6.16,6.13,15744231000.0,15812547000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/0000320193-23-000106-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/aapl-20230930.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-24,AAPL,USD,0000320193,2022-10-28,2022-10-27 18:01:14,2022,FY,394328000000.0,223546000000.0,170782000000.0,0.4330963056,26251000000.0,0.0,0.0,25094000000.0,228000000.0,51573000000.0,275119000000.0,2825000000.0,2931000000.0,11104000000.0,130541000000.0,0.3310467428,119437000000.0,0.302887444,-334000000.0,119103000000.0,0.3020404333,19300000000.0,99803000000.0,0.2530964071,6.15,6.11,16215963000.0,16325819000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/0000320193-22-000108-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/aapl-20220924.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-25,AAPL,USD,0000320193,2021-10-29,2021-10-28 18:04:28,2021,FY,365817000000.0,212981000000.0,152836000000.0,0.4177935963,21914000000.0,0.0,0.0,21973000000.0,-60000000.0,43827000000.0,256808000000.0,2843000000.0,2645000000.0,11284000000.0,120233000000.0,0.3286697994,108949000000.0,0.2978237753,258000000.0,109207000000.0,0.2985290459,14527000000.0,94680000000.0,0.2588179336,5.67,5.61,16701272000.0,16864919000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/0000320193-21-000105-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/aapl-20210925.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-26,AAPL,USD,0000320193,2020-10-30,2020-10-29 18:06:25,2020,FY,274515000000.0,169559000000.0,104956000000.0,0.3823324773,18752000000.0,0.0,0.0,19916000000.0,87000000.0,38755000000.0,208314000000.0,3763000000.0,2873000000.0,11056000000.0,77344000000.0,0.2817478098,66288000000.0,0.2414731435,803000000.0,67091000000.0,0.2443983025,9680000000.0,57411000000.0,0.2091361128,3.31,3.28,17352119000.0,17528214000.0,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/0000320193-20-000096-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/aapl-20200926.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-28,AAPL,USD,0000320193,2024-11-01,2024-11-01 06:01:36,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/0000320193-24-000123-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm,balance-sheet-statement,29943000000.0,35228000000.0,65171000000.0,66243000000.0,7286000000.0,14287000000.0,152987000000.0,45680000000.0,0.0,0.0,0.0,91479000000.0,19499000000.0,55335000000.0,211993000000.0,0.0,364980000000.0,68960000000.0,22511000000.0,26601000000.0,8249000000.0,50071000000.0,176392000000.0,96548000000.0,0.0,0.0,35090000000.0,131638000000.0,0.0,12430000000.0,308030000000.0,0.0,83276000000.0,-19154000000.0,-7172000000.0,0.0,56950000000.0,56950000000.0,364980000000.0,0.0,364980000000.0,126707000000.0,106629000000.0,76686000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-30,AAPL,USD,0000320193,2023-11-03,2023-11-02 18:08:27,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/0000320193-23-000106-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/aapl-20230930.htm,balance-sheet-statement,29965000000.0,31590000000.0,61555000000.0,60985000000.0,6331000000.0,14695000000.0,143566000000.0,54376000000.0,0.0,0.0,0.0,100544000000.0,17852000000.0,36245000000.0,209017000000.0,0.0,352583000000.0,62611000000.0,17382000000.0,8819000000.0,8061000000.0,48435000000.0,145308000000.0,106548000000.0,0.0,0.0,38581000000.0,145129000000.0,0.0,12842000000.0,290437000000.0,0.0,73812000000.0,-214000000.0,-11452000000.0,0.0,62146000000.0,62146000000.0,352583000000.0,0.0,352583000000.0,132134000000.0,111088000000.0,81123000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-24,AAPL,USD,0000320193,2022-10-28,2022-10-27 18:01:14,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/0000320193-22-000108-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/aapl-20220924.htm,balance-sheet-statement,23646000000.0,24658000000.0,48304000000.0,60932000000.0,4946000000.0,21223000000.0,135405000000.0,52534000000.0,0.0,0.0,0.0,120805000000.0,15375000000.0,28636000000.0,217350000000.0,0.0,352755000000.0,64115000000.0,22773000000.0,6552000000.0,7912000000.0,52630000000.0,153982000000.0,109707000000.0,0.0,0.0,38394000000.0,148101000000.0,0.0,12411000000.0,302083000000.0,0.0,64849000000.0,-3068000000.0,-11109000000.0,0.0,50672000000.0,50672000000.0,352755000000.0,0.0,352755000000.0,145463000000.0,132480000000.0,108834000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-25,AAPL,USD,0000320193,2021-10-29,2021-10-28 18:04:28,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/0000320193-21-000105-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/aapl-20210925.htm,balance-sheet-statement,34940000000.0,27699000000.0,62639000000.0,51506000000.0,6580000000.0,14111000000.0,134836000000.0,49527000000.0,0.0,0.0,0.0,127877000000.0,0.0,38762000000.0,216166000000.0,0.0,351002000000.0,54763000000.0,17141000000.0,0.0,7612000000.0,45965000000.0,125481000000.0,119381000000.0,0.0,0.0,43050000000.0,162431000000.0,0.0,11803000000.0,287912000000.0,0.0,57365000000.0,5562000000.0,163000000.0,0.0,63090000000.0,63090000000.0,351002000000.0,0.0,351002000000.0,155576000000.0,136522000000.0,101582000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-26,AAPL,USD,0000320193,2020-10-30,2020-10-29 18:06:25,2020,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/0000320193-20-000096-index.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/aapl-20200926.htm,balance-sheet-statement,38016000000.0,52927000000.0,90943000000.0,37445000000.0,4061000000.0,11264000000.0,143713000000.0,45336000000.0,0.0,0.0,0.0,100887000000.0,0.0,33952000000.0,180175000000.0,0.0,323888000000.0,42296000000.0,15229000000.0,0.0,6643000000.0,41224000000.0,105392000000.0,107049000000.0,0.0,0.0,46108000000.0,153157000000.0,0.0,9842000000.0,258549000000.0,0.0,50779000000.0,14966000000.0,-406000000.0,0.0,65339000000.0,65339000000.0,323888000000.0,0.0,323888000000.0,153814000000.0,122278000000.0,84262000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
