date,calendarYear,period,revenue,grossProfit,netIncome,operatingIncome,eps,epsdiluted,researchAndDevelopmentExpenses,operatingExpenses,grossProfitRatio,operatingIncomeRatio,netIncomeRatio,weightedAverageShsOutDil,Close,High,Low,Open,Volume,days_since_financial_update,price_change_pct,price_change,MA_5,MA_10,MA_20,MA_50,MA_200,RSI,returns,volatility_5d,volatility_10d,volatility_20d,PE_ratio,volume_change,volume_ma_5,momentum_5d,momentum_10d,momentum_20d,market_cap,price_to_sales
2020-12-31,2020.0,FY,65398000000.0,8654000000.0,6833000000.0,8644000000.0,24.4,24.3,1300000000.0,10000000.0,0.1323282058,0.1321752959,0.1044833175,281200000.0,316.1991577148437,317.1344364501874,313.7495896918451,315.1658821231112,1318500.0,0,-2.9128150427160215,-9.210296630859318,309.80181274414065,307.0912628173828,303.47925720214846,302.78681579589846,326.7079768371582,33.58350911763998,-0.029128150427160215,0.03572284859739906,0.045664004100691956,0.06453688778773913,12.958981873559168,0.4313234736442928,1726240.0,-0.053185852545850176,-0.021719366089726355,-0.08718785269756979,88915203149.41405,1.3596012592038602
2021-01-04,2021.0,,65398000000.0,8654000000.0,6833000000.0,8644000000.0,24.4,24.3,1300000000.0,10000000.0,0.1323282058,0.1321752959,0.1044833175,281200000.0,306.9888610839844,316.1992358648108,303.80886910411704,316.1992358648108,1887200.0,4,-2.9128150427160215,-9.210296630859318,309.80181274414065,307.0912628173828,303.47925720214846,302.78681579589846,326.7079768371582,33.58350911763998,-0.029128150427160215,0.03572284859739906,0.045664004100691956,0.06453688778773913,12.581510700163294,0.4313234736442928,1726240.0,-0.053185852545850176,-0.021719366089726355,-0.08718785269756979,86325267736.8164,1.3199985892048136
2021-01-05,2021.0,,65398000000.0,8654000000.0,6833000000.0,8644000000.0,24.4,24.3,1300000000.0,10000000.0,0.1323282058,0.1321752959,0.1044833175,281200000.0,310.6854553222656,312.8232550820998,305.79520745030123,306.98883927327745,1479100.0,5,1.2041460479147448,3.69659423828125,309.80181274414065,307.0912628173828,303.47925720214846,302.78681579589846,326.7079768371582,33.58350911763998,0.012041460479147448,0.03572284859739906,0.045664004100691956,0.06453688778773913,12.73301046402728,-0.21624629080118696,1726240.0,-0.053185852545850176,-0.021719366089726355,-0.08718785269756979,87364750036.6211,1.3358933000492537
2021-01-06,2021.0,,65398000000.0,8654000000.0,6833000000.0,8644000000.0,24.4,24.3,1300000000.0,10000000.0,0.1323282058,0.1321752959,0.1044833175,281200000.0,310.0084533691406,313.4734920984892,305.3320048276455,305.5279713776806,1897500.0,6,-0.2179059050005261,-0.677001953125,309.80181274414065,307.0912628173828,303.47925720214846,302.78681579589846,326.7079768371582,33.58350911763998,-0.002179059050005261,0.03572284859739906,0.045664004100691956,0.06453688778773913,12.70526448234183,0.2828747211141911,1726240.0,-0.053185852545850176,-0.021719366089726355,-0.08718785269756979,87174377087.40234,1.33298230966394
2021-01-07,2021.0,,65398000000.0,8654000000.0,6833000000.0,8644000000.0,24.4,24.3,1300000000.0,10000000.0,0.1323282058,0.1321752959,0.1044833175,281200000.0,305.12713623046875,309.8481389065617,304.04933374701204,306.7393954373546,2048900.0,7,-1.5745754948364166,-4.881317138671875,309.80181274414065,307.0912628173828,303.47925720214846,302.78681579589846,326.7079768371582,33.58350911763998,-0.015745754948364166,0.03572284859739906,0.045664004100691956,0.06453688778773913,12.50521050124872,0.0797891963109354,1726240.0,-0.053185852545850176,-0.021719366089726355,-0.08718785269756979,85801750708.00781,1.311993496865467
2021-01-08,2021.0,,65398000000.0,8654000000.0,6833000000.0,8644000000.0,24.4,24.3,1300000000.0,10000000.0,0.1323282058,0.1321752959,0.1044833175,281200000.0,299.3818359375,305.9466756547431,298.41091924938087,304.53038284270133,3226300.0,8,-1.8829201374699123,-5.74530029296875,306.4383483886719,307.0912628173828,303.47925720214846,302.78681579589846,326.7079768371582,33.58350911763998,-0.018829201374699123,0.03572284859739906,0.045664004100691956,0.06453688778773913,12.269747374487705,0.5746498120942944,2107800.0,-0.053185852545850176,-0.021719366089726355,-0.08718785269756979,84186172265.625,1.2872897071106915
2021-01-11,2021.0,,65398000000.0,8654000000.0,6833000000.0,8644000000.0,24.4,24.3,1300000000.0,10000000.0,0.1323282058,0.1321752959,0.1044833175,281200000.0,300.7891845703125,301.96498395224336,296.9055181788181,298.4019752920399,3196400.0,11,0.47008484279129625,1.4073486328125,305.1984130859375,307.0912628173828,303.47925720214846,302.78681579589846,326.7079768371582,33.58350911763998,0.0047008484279129625,0.029457957094031977,0.045664004100691956,0.06453688778773913,12.327425597143955,-0.009267582059944823,2369640.0,-0.020195118779817278,-0.021719366089726355,-0.08718785269756979,84581918701.17188,1.2933410609066314
2021-01-12,2021.0,,65398000000.0,8654000000.0,6833000000.0,8644000000.0,24.4,24.3,1300000000.0,10000000.0,0.1323282058,0.1321752959,0.1044833175,281200000.0,304.5036926269531,305.857626396594,298.96321198915336,299.7559674356576,3002200.0,12,1.2349207508730586,3.714508056640625,303.962060546875,307.0912628173828,303.47925720214846,302.78681579589846,326.7079768371582,33.58350911763998,0.012349207508730586,0.02966832528530552,0.045664004100691956,0.06453688778773913,12.479659533891523,-0.06075585033162312,2674260.0,-0.019897174423245234,-0.021719366089726355,-0.08718785269756979,85626438366.69922,1.309312798047329
2021-01-13,2021.0,,65398000000.0,8654000000.0,6833000000.0,8644000000.0,24.4,24.3,1300000000.0,10000000.0,0.1323282058,0.1321752959,0.1044833175,281200000.0,307.7459716796875,309.26917752774034,302.1164383839955,304.1117146314003,1648100.0,13,1.0647749538809315,3.242279052734375,303.5095642089844,307.0912628173828,303.47925720214846,302.78681579589846,326.7079768371582,33.58350911763998,0.010647749538809315,0.033184786703093744,0.045664004100691956,0.06453688778773913,12.612539822938013,-0.4510359070015322,2624380.0,-0.007298129018304844,-0.021719366089726355,-0.08718785269756979,86538167236.32812,1.3232540327888946
2021-01-14,2021.0,,65398000000.0,8654000000.0,6833000000.0,8644000000.0,24.4,24.3,1300000000.0,10000000.0,0.1323282058,0.1321752959,0.1044833175,281200000.0,309.4828796386719,316.0299123300542,308.9573392163152,309.9816985881492,1965600.0,14,0.5643966514018883,1.736907958984375,304.380712890625,307.0912628173828,303.47925720214846,302.78681579589846,326.7079768371582,33.58350911763998,0.005643966514018883,0.028112401923521654,0.045664004100691956,0.06453688778773913,12.683724575355406,0.1926460773011347,2607720.0,0.014275175462968859,-0.021719366089726355,-0.08718785269756979,87026585754.39453,1.3307224342394957
