date,calendarYear,period,revenue,grossProfit,netIncome,operatingIncome,eps,epsdiluted,researchAndDevelopmentExpenses,operatingExpenses,grossProfitRatio,operatingIncomeRatio,netIncomeRatio,weightedAverageShsOutDil,Close,High,Low,Open,Volume,days_since_financial_update,price_change_pct,price_change,MA_5,MA_10,MA_20,MA_50,MA_200,RSI,returns,volatility_5d,volatility_10d,volatility_20d,PE_ratio,volume_change,volume_ma_5,momentum_5d,momentum_10d,momentum_20d,market_cap,price_to_sales
2020-12-31,2020.0,FY,24996056000.0,9719737000.0,2761395000.0,4585289000.0,6.26,6.08,1829600000.0,5134448000.0,0.3888508251,0.1834404996,0.1104732283,454208000.0,540.72998046875,545.5,523.1500244140625,525.530029296875,5392300.0,0,-3.3047908868852227,-17.8699951171875,518.7539916992188,510.6169952392578,527.5125015258789,533.8594018554687,536.0970988464355,60.59835356260577,-0.03304790886885223,0.05346181928536139,0.06525067310329065,0.2048669175839809,86.3785911291933,-0.17578769727203603,4400640.0,-0.056090817353927847,-0.07905973596167648,-0.003125409173616034,245603882968.75,9.82570542203738
2021-01-04,2021.0,,24996056000.0,9719737000.0,2761395000.0,4585289000.0,6.26,6.08,1829600000.0,5134448000.0,0.3888508251,0.1834404996,0.1104732283,454208000.0,522.8599853515625,540.7999877929688,515.0900268554688,539.0,4444400.0,4,-3.3047908868852227,-17.8699951171875,518.7539916992188,510.6169952392578,527.5125015258789,533.8594018554687,536.0970988464355,60.59835356260577,-0.03304790886885223,0.05346181928536139,0.06525067310329065,0.2048669175839809,83.52395932133587,-0.17578769727203603,4400640.0,-0.056090817353927847,-0.07905973596167648,-0.003125409173616034,237487188226.5625,9.500986404677702
2021-01-05,2021.0,,24996056000.0,9719737000.0,2761395000.0,4585289000.0,6.26,6.08,1829600000.0,5134448000.0,0.3888508251,0.1834404996,0.1104732283,454208000.0,520.7999877929688,526.780029296875,515.8900146484375,521.5499877929688,3133900.0,5,-0.39398646220911715,-2.05999755859375,518.7539916992188,510.6169952392578,527.5125015258789,533.8594018554687,536.0970988464355,60.59835356260577,-0.0039398646220911715,0.05346181928536139,0.06525067310329065,0.2048669175839809,83.19488622890874,-0.2948654486544865,4400640.0,-0.056090817353927847,-0.07905973596167648,-0.003125409173616034,236551520855.46875,9.463553804466942
2021-01-06,2021.0,,24996056000.0,9719737000.0,2761395000.0,4585289000.0,6.26,6.08,1829600000.0,5134448000.0,0.3888508251,0.1834404996,0.1104732283,454208000.0,500.489990234375,513.0999755859375,499.5,511.9700012207031,5346200.0,6,-3.899769207880144,-20.30999755859375,518.7539916992188,510.6169952392578,527.5125015258789,533.8594018554687,536.0970988464355,60.59835356260577,-0.03899769207880144,0.05346181928536139,0.06525067310329065,0.2048669175839809,79.95047767322285,0.7059255241073423,4400640.0,-0.056090817353927847,-0.07905973596167648,-0.003125409173616034,227326557484.375,9.09449704722917
2021-01-07,2021.0,,24996056000.0,9719737000.0,2761395000.0,4585289000.0,6.26,6.08,1829600000.0,5134448000.0,0.3888508251,0.1834404996,0.1104732283,454208000.0,508.8900146484375,516.4400024414062,506.4200134277344,508.2799987792969,3686400.0,7,1.6783601226727507,8.4000244140625,518.7539916992188,510.6169952392578,527.5125015258789,533.8594018554687,536.0970988464355,60.59835356260577,0.016783601226727507,0.05346181928536139,0.06525067310329065,0.2048669175839809,81.2923346083766,-0.31046350678986945,4400640.0,-0.056090817353927847,-0.07905973596167648,-0.003125409173616034,231141915773.4375,9.247135459027517
2021-01-08,2021.0,,24996056000.0,9719737000.0,2761395000.0,4585289000.0,6.26,6.08,1829600000.0,5134448000.0,0.3888508251,0.1834404996,0.1104732283,454208000.0,510.3999938964844,513.239990234375,504.510009765625,511.30999755859375,2973900.0,8,0.2967201565332367,1.509979248046875,512.6879943847656,510.6169952392578,527.5125015258789,533.8594018554687,536.0970988464355,60.59835356260577,0.002967201565332367,0.05346181928536139,0.06525067310329065,0.2048669175839809,81.5335453508761,-0.19327799479166663,3916960.0,-0.056090817353927847,-0.07905973596167648,-0.003125409173616034,231827760427.73438,9.274573573836383
2021-01-11,2021.0,,24996056000.0,9719737000.0,2761395000.0,4585289000.0,6.26,6.08,1829600000.0,5134448000.0,0.3888508251,0.1834404996,0.1104732283,454208000.0,499.1000061035156,510.7300109863281,497.9500122070313,507.8399963378906,3806200.0,11,-2.2139474780755064,-11.29998779296875,507.9359985351563,510.6169952392578,527.5125015258789,533.8594018554687,536.0970988464355,60.59835356260577,-0.022139474780755064,0.048812127311049266,0.06525067310329065,0.2048669175839809,79.72843547979483,0.2798681865563737,3789320.0,-0.04544233621563343,-0.07905973596167648,-0.003125409173616034,226695215572.26562,9.069239386096175
2021-01-12,2021.0,,24996056000.0,9719737000.0,2761395000.0,4585289000.0,6.26,6.08,1829600000.0,5134448000.0,0.3888508251,0.1834404996,0.1104732283,454208000.0,494.25,501.0899963378906,485.6700134277344,500.0,5990400.0,12,-0.9717503594880217,-4.850006103515625,502.6260009765625,510.6169952392578,527.5125015258789,533.8594018554687,536.0970988464355,60.59835356260577,-0.009717503594880217,0.0483939395019354,0.06525067310329065,0.2048669175839809,78.95367412140575,0.5738531869055752,4360620.0,-0.05097924042871338,-0.07905973596167648,-0.003125409173616034,224492304000.0,8.981109019758957
2021-01-13,2021.0,,24996056000.0,9719737000.0,2761395000.0,4585289000.0,6.26,6.08,1829600000.0,5134448000.0,0.3888508251,0.1834404996,0.1104732283,454208000.0,507.7900085449219,512.3499755859375,493.010009765625,495.5,5032100.0,13,2.739506028309946,13.540008544921875,504.08600463867185,510.6169952392578,527.5125015258789,533.8594018554687,536.0970988464355,60.59835356260577,0.02739506028309946,0.0444243613318597,0.06525067310329065,0.2048669175839809,81.11661478353385,-0.15997262286324787,4297800.0,0.014585742877951224,-0.07905973596167648,-0.003125409173616034,230642284201.17188,9.227147042764342
2021-01-14,2021.0,,24996056000.0,9719737000.0,2761395000.0,4585289000.0,6.26,6.08,1829600000.0,5134448000.0,0.3888508251,0.1834404996,0.1104732283,454208000.0,500.8599853515625,514.5,499.5799865722656,507.3500061035156,4177400.0,14,-1.3647419359859914,-6.930023193359375,502.47999877929686,510.6169952392578,527.5125015258789,533.8594018554687,536.0970988464355,60.59835356260577,-0.013647419359859914,0.0430737018386449,0.06525067310329065,0.2048669175839809,80.00958232453075,-0.16984956578764332,4396000.0,-0.01577949864554229,-0.07905973596167648,-0.003125409173616034,227494612226.5625,9.101220297576646
