date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,Statement_Type,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-12-31,AMT,USD,0001053507,2025-02-25,2025-02-25 16:15:22,2024,FY,10127200000.0,2574400000.0,7552800000.0,0.7457935066,0.0,0.0,0.0,933400000.0,2102900000.0,3036300000.0,5610700000.0,135200000.0,1404500000.0,2124800000.0,6691000000.0,0.6606959475,4516500000.0,0.4459771704,-891700000.0,3624800000.0,0.3579271664,366300000.0,2255000000.0,0.2226676673,4.83,4.82,467011000.0,468120000.0,https://www.sec.gov/Archives/edgar/data/1053507/000105350725000025/0001053507-25-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1053507/000105350725000025/amt-20241231.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,AMT,USD,0001053507,2024-02-27,2024-02-27 16:21:21,2023,FY,11144200000.0,3260600000.0,7883600000.0,0.7074173112,0.0,0.0,0.0,992500000.0,3866200000.0,4858700000.0,8119300000.0,143400000.0,1398200000.0,3086500000.0,6006000000.0,0.5389350514,3024900000.0,0.2714326735,-1503600000.0,1521300000.0,0.1365104718,154200000.0,1483300000.0,0.1331006263,3.18,3.18,466063000.0,467162000.0,https://www.sec.gov/Archives/edgar/data/1053507/000105350724000011/0001053507-24-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1053507/000105350724000011/amt-20231231.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,AMT,USD,0001053507,2023-02-23,2023-02-23 16:13:08,2022,FY,10711100000.0,3263800000.0,7447300000.0,0.6952880657,0.16064643220584254,0.0,0.0,972300000.0,4122700000.0,5095000000.0,8358800000.0,71600000.0,1136500000.0,7604300000.0,6461900000.0,0.6032900449,2352300000.0,0.2196132984,-631600000.0,1720700000.0,0.1606464322,24000000.0,1765800000.0,0.1648570175,3.83,3.82,461519000.0,462750000.0,https://www.sec.gov/Archives/edgar/data/1053507/000105350723000023/0001053507-23-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1053507/000105350723000023/amt-20221231.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,AMT,USD,0001053507,2022-02-25,2022-02-24 17:52:05,2021,FY,9356900000.0,2682000000.0,6674900000.0,0.7133666065,0.30238647415276426,811600000.0,0.0,811600000.0,2731300000.0,3542900000.0,6224900000.0,40400000.0,870900000.0,5812600000.0,5876900000.0,0.6280819502,3132000000.0,0.3347262448,-302600000.0,2829400000.0,0.3023864742,261800000.0,2567700000.0,0.2744178093,5.69,5.66,451498000.0,453294000.0,https://www.sec.gov/Archives/edgar/data/1053507/000105350722000017/0001053507-22-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1053507/000105350722000017/amt-20211231.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,AMT,USD,0001053507,2021-02-25,2021-02-25 16:15:20,2020,FY,8041500000.0,2227200000.0,5814300000.0,0.7230367469,0.2264627246160542,781700000.0,-3000000.0,778700000.0,2148100000.0,2926800000.0,5154000000.0,39700000.0,793500000.0,4928500000.0,4995300000.0,0.6211900765,2887500000.0,0.3590747995,-1066400000.0,1821100000.0,0.2264627246,129600000.0,1690600000.0,0.210234409,3.81,3.79,443640000.0,446104000.0,https://www.sec.gov/Archives/edgar/data/1053507/000105350721000026/0001053507-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1053507/000105350721000026/amt-20201231.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,AMT,USD,0001053507,2025-02-25,2025-02-25 16:15:22,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1053507/000105350725000025/0001053507-25-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1053507/000105350725000025/amt-20241231.htm,balance-sheet-statement,1999600000.0,0.0,1999600000.0,784800000.0,0.0,234600000.0,3178800000.0,27146400000.0,11768100000.0,14474300000.0,26242400000.0,0.0,122700000.0,4387100000.0,57898600000.0,0.0,61077400000.0,240800000.0,4269700000.0,219900000.0,329200000.0,2016000000.0,7075600000.0,32792199999.0,0.0,1262000000.0,10298900001.0,44353100000.0,0.0,0.0,51428700000.0,0.0,4800000.0,0.0,-5954600000.0,9332000000.0,3382200000.0,9648700000.0,61077400000.0,6266500000.0,61077400000.0,0.0,43954100000.0,41954500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,AMT,USD,0001053507,2024-02-27,2024-02-27 16:21:21,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1053507/000105350724000011/0001053507-24-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1053507/000105350724000011/amt-20231231.htm,balance-sheet-statement,1973300000.0,0.0,1973300000.0,1072700000.0,0.0,664000000.0,3710000000.0,28667600000.0,12639000000.0,16520700000.0,29159700000.0,0.0,179100000.0,4311200000.0,62317600000.0,0.0,66027600000.0,258700000.0,3982100000.0,316500000.0,434700000.0,2257300000.0,7249300000.0,43152100000.0,475300000.0,1361400000.0,2924100000.0,47912900000.0,0.0,8233300000.0,55162200000.0,0.0,4800000.0,-3638800000.0,-5739500000.0,13571700000.0,4198200000.0,10865400000.0,66027600000.0,6667200000.0,66027600000.0,3620700000.0,47154800000.0,45181500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,AMT,USD,0001053507,2023-02-23,2023-02-23 16:13:08,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1053507/000105350723000023/0001053507-23-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1053507/000105350723000023/amt-20221231.htm,balance-sheet-statement,2028400000.0,0.0,2028400000.0,1042099999.0,112300000.0,468200000.0,3622300000.0,28917200000.0,12956700000.0,17983300000.0,30940000000.0,29200000.0,129200000.0,3556600000.0,63572200000.0,0.0,67194500000.0,218600000.0,5303100000.0,299900000.0,439700000.0,2050600000.0,8311900000.0,49339800000.0,489500000.0,1492000000.0,-4357700000.0,46474100000.0,0.0,8380800000.0,54786000000.0,0.0,4800000.0,-2101900000.0,-5718300000.0,13387800000.0,5572400000.0,12408500000.0,67194500000.0,6836100000.0,67194500000.0,29200000.0,47051000000.0,45022600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,AMT,USD,0001053507,2022-02-25,2022-02-24 17:52:05,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1053507/000105350722000017/0001053507-22-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1053507/000105350722000017/amt-20211231.htm,balance-sheet-statement,1949900000.0,0.0,1949900000.0,1082400000.0,393400000.0,697100000.0,3729400000.0,29009100000.0,13350100000.0,20727200000.0,34077300000.0,2539600000.0,131600000.0,400900000.0,66158500000.0,0.0,69887900000.0,272400000.0,5281300000.0,340100000.0,1204000000.0,1969500000.0,9067300000.0,46727300000.0,540200000.0,1830900000.0,3192800000.0,51751000000.0,0.0,8754400000.0,60818300000.0,0.0,4700000.0,-1142400000.0,-4738900000.0,10957800000.0,5081200000.0,9069600000.0,69887900000.0,3988400000.0,69887900000.0,2539600000.0,52008600000.0,50058700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,AMT,USD,0001053507,2021-02-25,2021-02-25 16:15:20,2020,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1053507/000105350721000026/0001053507-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1053507/000105350721000026/amt-20201231.htm,balance-sheet-statement,1746300000.0,0.0,1746300000.0,754800000.0,115100000.0,404500000.0,2905600000.0,20597900000.0,7282700000.0,13839800000.0,21122500000.0,2084300000.0,123100000.0,400100000.0,44327900000.0,0.0,47233500000.0,139100000.0,1329700000.0,239700000.0,390600000.0,1556400000.0,3655500000.0,42266500000.0,576100000.0,859500000.0,-4328500000.0,38797500000.0,0.0,7424300000.0,42453000000.0,0.0,4600000.0,-1343000000.0,-3759400000.0,9191300000.0,4093500000.0,4780500000.0,47233500000.0,687000000.0,47233500000.0,2084300000.0,36711800000.0,34965500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
