date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,Statement_Type,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-11-03,AVGO,USD,0001730168,2024-12-20,2024-12-20 17:26:46,2024,FY,51574000000.0,19065000000.0,32509000000.0,0.6303369915,9310000000.0,0.0,0.0,4959000000.0,4777000000.0,19046000000.0,38111000000.0,461000000.0,3953000000.0,10010000000.0,23879000000.0,0.4630046147,13463000000.0,0.2610423857,-3547000000.0,9916000000.0,0.1922674216,3748000000.0,5895000000.0,0.11430178,1.27,1.23,4624000000.0,4778000000.0,https://www.sec.gov/Archives/edgar/data/1730168/000173016824000139/0001730168-24-000139-index.htm,https://www.sec.gov/Archives/edgar/data/1730168/000173016824000139/avgo-20241103.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-29,AVGO,USD,0001730168,2023-12-14,2023-12-14 16:54:05,2023,FY,35819000000.0,11129000000.0,24690000000.0,0.6892989754,5253000000.0,0.0,0.0,1592000000.0,1638000000.0,8483000000.0,19635000000.0,535000000.0,1622000000.0,3835000000.0,20554000000.0,0.5738295318,16207000000.0,0.4524693598,-1110000000.0,15097000000.0,0.42148022,1015000000.0,14082000000.0,0.3931433038,3.39,3.3,4150000000.0,4270000000.0,https://www.sec.gov/Archives/edgar/data/1730168/000173016823000096/0001730168-23-000096-index.htm,https://www.sec.gov/Archives/edgar/data/1730168/000173016823000096/avgo-20231029.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-30,AVGO,USD,0001730168,2022-12-16,2022-12-16 16:21:52,2022,FY,33203000000.0,11108000000.0,22095000000.0,0.665451917,4919000000.0,0.0,0.0,1382000000.0,1512000000.0,7813000000.0,18921000000.0,100000000.0,1737000000.0,4984000000.0,19155000000.0,0.5769057013,14225000000.0,0.4284251423,-1791000000.0,12434000000.0,0.3744842334,939000000.0,11495000000.0,0.3462036563,2.74,2.65,4090000000.0,4230000000.0,https://www.sec.gov/Archives/edgar/data/1730168/000173016822000118/0001730168-22-000118-index.htm,https://www.sec.gov/Archives/edgar/data/1730168/000173016822000118/avgo-20221030.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-31,AVGO,USD,0001730168,2021-12-17,2021-12-17 16:42:51,2021,FY,27450000000.0,10606000000.0,16844000000.0,0.6136247723,4854000000.0,0.0,0.0,1347000000.0,1976000000.0,8177000000.0,18783000000.0,16000000.0,1885000000.0,6041000000.0,14691000000.0,0.5351912568,8519000000.0,0.3103460838,-1754000000.0,6765000000.0,0.2464480874,29000000.0,6736000000.0,0.2453916211,1.57,1.5,4100000000.0,4290000000.0,https://www.sec.gov/Archives/edgar/data/1730168/000173016821000153/0001730168-21-000153-index.htm,https://www.sec.gov/Archives/edgar/data/1730168/000173016821000153/avgo-20211031.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-01,AVGO,USD,0001730168,2020-12-18,2020-12-18 17:07:10,2020,FY,23888000000.0,10372000000.0,13516000000.0,0.5658070998,4968000000.0,0.0,0.0,1935000000.0,2401000000.0,9304000000.0,19676000000.0,53000000.0,1777000000.0,6905000000.0,11125000000.0,0.4657150033,4014000000.0,0.1680341594,-1571000000.0,2443000000.0,0.1022689216,-518000000.0,2960000000.0,0.1239115874,0.66,0.63,4020000000.0,4210000000.0,https://www.sec.gov/Archives/edgar/data/1730168/000173016820000226/0001730168-20-000226-index.htm,https://www.sec.gov/Archives/edgar/data/1730168/000173016820000226/avgo-20201101.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-03,AVGO,USD,0001730168,2024-12-20,2024-12-20 17:26:46,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1730168/000173016824000139/0001730168-24-000139-index.htm,https://www.sec.gov/Archives/edgar/data/1730168/000173016824000139/avgo-20241103.htm,balance-sheet-statement,9348000000.0,0.0,9348000000.0,4416000000.0,1760000000.0,4071000000.0,19595000000.0,2521000000.0,97873000000.0,40583000000.0,138456000000.0,0.0,0.0,5073000000.0,146050000000.0,0.0,165645000000.0,1662000000.0,1271000000.0,0.0,0.0,13764000000.0,16697000000.0,66295000000.0,0.0,0.0,14975000000.0,81270000000.0,0.0,0.0,97967000000.0,0.0,5000000.0,0.0,207000000.0,67466000000.0,67678000000.0,67678000000.0,165645000000.0,0.0,165645000000.0,0.0,67566000000.0,58218000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-29,AVGO,USD,0001730168,2023-12-14,2023-12-14 16:54:05,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1730168/000173016823000096/0001730168-23-000096-index.htm,https://www.sec.gov/Archives/edgar/data/1730168/000173016823000096/avgo-20231029.htm,balance-sheet-statement,14189000000.0,0.0,14189000000.0,3154000000.0,1898000000.0,1606000000.0,20847000000.0,2617000000.0,43653000000.0,3867000000.0,47520000000.0,0.0,0.0,1877000000.0,52014000000.0,0.0,72861000000.0,1210000000.0,1608000000.0,473000000.0,2487000000.0,1627000000.0,7405000000.0,37621000000.0,299000000.0,60000000.0,3488000000.0,41468000000.0,0.0,49000000.0,48873000000.0,0.0,0.0,2682000000.0,207000000.0,21099000000.0,23988000000.0,23988000000.0,72861000000.0,0.0,72861000000.0,0.0,39229000000.0,25040000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-30,AVGO,USD,0001730168,2022-12-16,2022-12-16 16:21:52,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1730168/000173016822000118/0001730168-22-000118-index.htm,https://www.sec.gov/Archives/edgar/data/1730168/000173016822000118/avgo-20221030.htm,balance-sheet-statement,12416000000.0,0.0,12416000000.0,2958000000.0,1925000000.0,2069000000.0,18504000000.0,2223000000.0,43614000000.0,7111000000.0,50725000000.0,0.0,0.0,1797000000.0,54745000000.0,0.0,73249000000.0,998000000.0,440000000.0,680000000.0,2931000000.0,2003000000.0,7052000000.0,39075000000.0,410000000.0,3229000000.0,4003000000.0,43488000000.0,0.0,59000000.0,50540000000.0,0.0,0.0,1604000000.0,-54000000.0,21159000000.0,22709000000.0,22709000000.0,73249000000.0,0.0,73249000000.0,0.0,39515000000.0,27099000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-31,AVGO,USD,0001730168,2021-12-17,2021-12-17 16:42:51,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1730168/000173016821000153/0001730168-21-000153-index.htm,https://www.sec.gov/Archives/edgar/data/1730168/000173016821000153/avgo-20211031.htm,balance-sheet-statement,12163000000.0,0.0,12163000000.0,2071000000.0,1297000000.0,1594000000.0,16586000000.0,2348000000.0,43450000000.0,11374000000.0,54824000000.0,0.0,0.0,1812000000.0,58984000000.0,0.0,75570000000.0,1086000000.0,290000000.0,541000000.0,2619000000.0,1745000000.0,6281000000.0,39440000000.0,566000000.0,-566000000.0,4294000000.0,44300000000.0,0.0,65000000.0,50581000000.0,27000000.0,0.0,748000000.0,-116000000.0,24330000000.0,24989000000.0,24989000000.0,75570000000.0,0.0,75570000000.0,0.0,39730000000.0,27567000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-01,AVGO,USD,0001730168,2020-12-18,2020-12-18 17:07:10,2020,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1730168/000173016820000226/0001730168-20-000226-index.htm,https://www.sec.gov/Archives/edgar/data/1730168/000173016820000226/avgo-20201101.htm,balance-sheet-statement,7618000000.0,0.0,7618000000.0,2297000000.0,1003000000.0,1364000000.0,11895000000.0,2509000000.0,43447000000.0,16782000000.0,60229000000.0,-240000000.0,240000000.0,1300000000.0,64038000000.0,0.0,75933000000.0,836000000.0,827000000.0,440000000.0,2620000000.0,1648000000.0,6371000000.0,40810000000.0,823000000.0,-823000000.0,4028000000.0,45661000000.0,0.0,575000000.0,52032000000.0,27000000.0,0.0,0.0,-108000000.0,23982000000.0,23901000000.0,23901000000.0,75933000000.0,0.0,75933000000.0,-240000000.0,41062000000.0,33444000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-03,AVGO,USD,0001730168,2024-12-20,2024-12-20 17:26:46,2024,FY,,,,,,,,,,,,,,10010000000.0,,,,,,,,,5895000000.0,,,,,,https://www.sec.gov/Archives/edgar/data/1730168/000173016824000139/0001730168-24-000139-index.htm,https://www.sec.gov/Archives/edgar/data/1730168/000173016824000139/avgo-20241103.htm,cash-flow-statement,,,,,150000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5741000000.0,-4637000000.0,2327000000.0,121000000.0,-7235000000.0,2953000000.0,19962000000.0,-548000000.0,-25978000000.0,-175000000.0,156000000.0,3475000000.0,-23070000000.0,20346000000.0,190000000.0,-12392000000.0,-9814000000.0,-253000000.0,-1733000000.0,0.0,-4841000000.0,9348000000.0,14189000000.0,19962000000.0,-548000000.0,19414000000.0
2023-10-29,AVGO,USD,0001730168,2023-12-14,2023-12-14 16:54:05,2023,FY,,,,,,,,,,,,,,3835000000.0,,,,,,,,,14082000000.0,,,,,,https://www.sec.gov/Archives/edgar/data/1730168/000173016823000096/0001730168-23-000096-index.htm,https://www.sec.gov/Archives/edgar/data/1730168/000173016823000096/avgo-20231029.htm,cash-flow-statement,,,,,27000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-501000000.0,2171000000.0,-1643000000.0,-187000000.0,209000000.0,-1692000000.0,141000000.0,18085000000.0,-452000000.0,-53000000.0,-346000000.0,228000000.0,-66000000.0,-689000000.0,-403000000.0,122000000.0,-7685000000.0,-7645000000.0,-12000000.0,-15623000000.0,0.0,1773000000.0,14189000000.0,12416000000.0,18085000000.0,-452000000.0,17633000000.0
2022-10-30,AVGO,USD,0001730168,2022-12-16,2022-12-16 16:21:52,2022,FY,,,,,,,,,,,,,,4984000000.0,,,,,,,,,11495000000.0,,,,,,https://www.sec.gov/Archives/edgar/data/1730168/000173016822000118/0001730168-22-000118-index.htm,https://www.sec.gov/Archives/edgar/data/1730168/000173016822000118/avgo-20221030.htm,cash-flow-statement,,,,,-627000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-34000000.0,1533000000.0,-1654000000.0,-870000000.0,-79000000.0,-78000000.0,412000000.0,16736000000.0,-424000000.0,-246000000.0,-200000000.0,200000000.0,3000000.0,-667000000.0,-426000000.0,114000000.0,-8455000000.0,-7032000000.0,-17000000.0,-15816000000.0,0.0,253000000.0,12416000000.0,12163000000.0,16736000000.0,-424000000.0,16312000000.0
2021-10-31,AVGO,USD,0001730168,2021-12-17,2021-12-17 16:42:51,2021,FY,,,,,,,,,,,,,,6041000000.0,,,,,,,,,6736000000.0,,,,,,https://www.sec.gov/Archives/edgar/data/1730168/000173016821000153/0001730168-21-000153-index.htm,https://www.sec.gov/Archives/edgar/data/1730168/000173016821000153/avgo-20211031.htm,cash-flow-statement,,,,,-294000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-809000000.0,1704000000.0,-127000000.0,210000000.0,243000000.0,-286000000.0,219000000.0,13764000000.0,-443000000.0,37000000.0,4000000.0,169000000.0,-12000000.0,-245000000.0,-1591000000.0,170000000.0,-1299000000.0,-6212000000.0,-42000000.0,-8974000000.0,0.0,4545000000.0,12163000000.0,7618000000.0,13764000000.0,-443000000.0,13321000000.0
2020-11-01,AVGO,USD,0001730168,2020-12-18,2020-12-18 17:07:10,2020,FY,,,,,,,,,,,,,,6905000000.0,,,,,,,,,2960000000.0,,,,,,https://www.sec.gov/Archives/edgar/data/1730168/000173016820000226/0001730168-20-000226-index.htm,https://www.sec.gov/Archives/edgar/data/1730168/000173016820000226/avgo-20201101.htm,cash-flow-statement,,,,,-31000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1142000000.0,1976000000.0,1093000000.0,981000000.0,-3000000.0,146000000.0,269000000.0,12061000000.0,-463000000.0,-10654000000.0,0.0,0.0,8000000.0,-11109000000.0,7703000000.0,276000000.0,-765000000.0,-5534000000.0,-69000000.0,1611000000.0,0.0,2563000000.0,7618000000.0,5055000000.0,12061000000.0,-463000000.0,11598000000.0
