date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,Statement_Type,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-12-31,CEG,USD,0001868275,2025-02-18,2025-02-18 10:21:43,2024,FY,23568000000.0,6159000000.0,17409000000.0,0.7386710794,0.0,0.0,0.0,17649000000.0,1638000000.0,19287000000.0,25446000000.0,0.0,506000000.0,2700000000.0,5140000000.0,0.2180923286,4352000000.0,0.1846571623,164000000.0,4516000000.0,0.1916157502,774000000.0,3749000000.0,0.1590716225,11.9,11.9,315000000.0,315000000.0,https://www.sec.gov/Archives/edgar/data/1868275/000186827525000023/0001868275-25-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1868275/000186827525000023/ceg-20241231.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,CEG,USD,0001868275,2024-02-27,2024-02-27 11:57:04,2023,FY,24918000000.0,21686000000.0,3232000000.0,0.1297054338,0.0,-54000000.0,0.0,-54000000.0,1676000000.0,1622000000.0,23308000000.0,0.0,431000000.0,2514000000.0,4252000000.0,0.1706396982,1610000000.0,0.0646119271,837000000.0,2447000000.0,0.0982021029,859000000.0,1623000000.0,0.0651336383,5.02,5.01,323000000.0,324000000.0,https://www.sec.gov/Archives/edgar/data/1868275/000186827524000014/0001868275-24-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1168165/000186827524000014/ceg-20231231.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,CEG,USD,0001868275,2023-02-16,2023-02-16 11:04:17,2022,FY,24440000000.0,22303000000.0,2137000000.0,0.0874386252,0.0,-110000000.0,220000000.0,110000000.0,1643000000.0,1643000000.0,23946000000.0,93000000.0,251000000.0,2427000000.0,2136000000.0,0.0873977087,-292000000.0,-0.0119476268,-1037000000.0,-542000000.0,-0.0221767594,-388000000.0,-154000000.0,-0.0063011457,-0.47,-0.47,328000000.0,328000000.0,https://www.sec.gov/Archives/edgar/data/1868275/000186827523000014/0001868275-23-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1168165/000186827523000014/ceg-20221231.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,CEG,USD,0001868275,2022-02-25,2022-02-25 14:23:03,2021,FY,19649000000.0,16718000000.0,2931000000.0,0.1491678966,0.0,0.0,0.0,0.0,3252000000.0,3252000000.0,19970000000.0,98000000.0,297000000.0,4540000000.0,4989000000.0,0.2539060512,-177000000.0,-0.009008092,498000000.0,152000000.0,0.0077357626,225000000.0,-73000000.0,-0.0037152018,-0.22,-0.22,326663937.0,326663937.0,https://www.sec.gov/Archives/edgar/data/1868275/000186827522000020/0001868275-22-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1168165/000186827522000020/ceg-20211231.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,CEG,USD,0001868275,2020-12-31,2020-12-31 00:00:00,2020,FY,17603000000.0,14753000000.0,2850000000.0,0.1619042209,0.0,0.0,0.0,0.0,2605000000.0,2605000000.0,17358000000.0,90000000.0,357000000.0,3636000000.0,4829000000.0,0.2743282395,1182000000.0,0.0671476453,580000000.0,836000000.0,0.0474919048,249000000.0,589000000.0,0.0334602056,1.8,1.8,326663937.0,326663937.0,,,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,CEG,USD,0001868275,2025-02-18,2025-02-18 10:21:43,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1868275/000186827525000023/0001868275-25-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1868275/000186827525000023/ceg-20241231.htm,balance-sheet-statement,3022000000.0,0.0,3022000000.0,3718000000.0,0.0,2436000000.0,10776000000.0,21671000000.0,420000000.0,0.0,420000000.0,640000000.0,-436000000.0,19419000000.0,42150000000.0,0.0,52926000000.0,0.0,1028000000.0,0.0,0.0,5818000000.0,6846000000.0,7384000000.0,0.0,3331000000.0,21826000000.0,32541000000.0,0.0,0.0,39387000000.0,0.0,11402000000.0,4066000000.0,-2302000000.0,0.0,13166000000.0,13539000000.0,52926000000.0,373000000.0,52926000000.0,640000000.0,8412000000.0,8303000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,CEG,USD,0001868275,2024-02-27,2024-02-27 11:57:04,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1868275/000186827524000014/0001868275-24-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1168165/000186827524000014/ceg-20231231.htm,balance-sheet-statement,368000000.0,0.0,368000000.0,2851000000.0,1500000000.0,3580000000.0,8299000000.0,22116000000.0,425000000.0,0.0,425000000.0,563000000.0,52000000.0,19303000000.0,42459000000.0,0.0,50758000000.0,1480000000.0,1765000000.0,0.0,0.0,3074000000.0,6319000000.0,7496000000.0,0.0,3209000000.0,22448000000.0,33153000000.0,0.0,0.0,39472000000.0,0.0,12355000000.0,761000000.0,-2191000000.0,0.0,10925000000.0,11286000000.0,50758000000.0,361000000.0,50758000000.0,563000000.0,9261000000.0,8893000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,CEG,USD,0001868275,2023-02-16,2023-02-16 11:04:17,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1868275/000186827523000014/0001868275-23-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1168165/000186827523000014/ceg-20221231.htm,balance-sheet-statement,422000000.0,-14114000000.0,422000000.0,3316000000.0,1505000000.0,4011000000.0,9360000000.0,19822000000.0,47000000.0,178000000.0,178000000.0,14316000000.0,44000000.0,3189000000.0,37549000000.0,0.0,46909000000.0,2828000000.0,1369000000.0,0.0,0.0,3642000000.0,7839000000.0,5109000000.0,0.0,3031000000.0,19558000000.0,27698000000.0,0.0,710000000.0,35537000000.0,0.0,13274000000.0,-496000000.0,-1760000000.0,0.0,11018000000.0,11372000000.0,46909000000.0,354000000.0,46909000000.0,202000000.0,5768000000.0,5346000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,CEG,USD,0001868275,2022-02-25,2022-02-25 14:23:03,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1868275/000186827522000020/0001868275-22-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1168165/000186827522000020/ceg-20211231.htm,balance-sheet-statement,504000000.0,43000000.0,504000000.0,2421000000.0,1288000000.0,3696000000.0,7981000000.0,19612000000.0,2430000000.0,202000000.0,2632000000.0,16112000000.0,32000000.0,1717000000.0,40105000000.0,0.0,48086000000.0,1757000000.0,3374000000.0,0.0,868000000.0,2865000000.0,7996000000.0,5599000000.0,17536000000.0,3703000000.0,19174000000.0,28476000000.0,0.0,777000000.0,36472000000.0,0.0,10482000000.0,768000000.0,-31000000.0,0.0,11219000000.0,11614000000.0,48086000000.0,395000000.0,48086000000.0,16112000000.0,8196000000.0,7692000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,CEG,USD,0001868275,2020-12-31,2020-12-31 00:00:00,2020,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,balance-sheet-statement,226000000.0,195000000.0,226000000.0,1803000000.0,1211000000.0,3618000000.0,6947000000.0,22214000000.0,47000000.0,47000000.0,47000000.0,14648000000.0,6000000.0,4232000000.0,41147000000.0,0.0,48094000000.0,1253000000.0,1454000000.0,0.0,7000000.0,2505000000.0,5219000000.0,6665000000.0,3000000.0,3656000000.0,17875000000.0,28199000000.0,0.0,907000000.0,33418000000.0,0.0,9624000000.0,2805000000.0,-30000000.0,0.0,12399000000.0,14676000000.0,48094000000.0,2277000000.0,48094000000.0,14648000000.0,7212000000.0,6986000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
