date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,Statement_Type,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-12-31,F,USD,0000037996,2025-02-06,2025-02-05 20:44:08,2024,FY,184992000000.0,158434000000.0,26558000000.0,0.1435629649,0.0,0.0,0.0,10287000000.0,0.0,21339000000.0,179773000000.0,1540000000.0,1136000000.0,5867000000.0,14215000000.0,0.0768411607,5219000000.0,0.0282120308,2014000000.0,7233000000.0,0.0390989881,1339000000.0,5879000000.0,0.0317797526,1.48,1.46,3978000000.0,4021000000.0,https://www.sec.gov/Archives/edgar/data/37996/000003799625000013/0000037996-25-000013-index.htm,https://www.sec.gov/Archives/edgar/data/37996/000003799625000013/f-20241231.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,F,USD,0000037996,2024-02-07,2024-02-06 19:33:55,2023,FY,176191000000.0,160031000000.0,16160000000.0,0.0917186462,8200000000.0,8202000000.0,2500000000.0,10702000000.0,0.0,10702000000.0,170733000000.0,1567000000.0,1318000000.0,6523000000.0,11817000000.0,0.0670692601,5458000000.0,0.0309777457,-1491000000.0,3967000000.0,0.0225153385,-362000000.0,4347000000.0,0.0246720888,1.09,1.08,3998000000.0,4041000000.0,https://www.sec.gov/Archives/edgar/data/37996/000003799624000009/0000037996-24-000009-index.htm,https://www.sec.gov/Archives/edgar/data/37996/000003799624000009/f-20231231.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,F,USD,0000037996,2023-02-03,2023-02-02 19:39:34,2022,FY,158057000000.0,134397000000.0,23660000000.0,0.1496928323,7800000000.0,8688000000.0,2200000000.0,10888000000.0,2020000000.0,10888000000.0,145285000000.0,639000000.0,1282000000.0,6493000000.0,4736000000.0,0.0299638738,12401000000.0,0.0784590369,-9292000000.0,-3016000000.0,-0.0190817237,-864000000.0,-2152000000.0,-0.0136153413,-0.54,-0.54,4014000000.0,4014000000.0,https://www.sec.gov/Archives/edgar/data/37996/000003799623000012/0000037996-23-000012-index.htm,https://www.sec.gov/Archives/edgar/data/37996/000003799623000012/f-20221231.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,F,USD,0000037996,2022-02-04,2022-02-03 18:24:07,2021,FY,136341000000.0,114651000000.0,21690000000.0,0.1590864083,7600000000.0,8815000000.0,3100000000.0,11915000000.0,6647000000.0,11915000000.0,126566000000.0,261000000.0,1803000000.0,5960000000.0,25543000000.0,0.1873464328,17378000000.0,0.127459825,402000000.0,17780000000.0,0.1304083144,-130000000.0,17937000000.0,0.1315598389,4.49,4.45,3991000000.0,4034000000.0,https://www.sec.gov/Archives/edgar/data/37996/000003799622000013/0000037996-22-000013-index.htm,https://www.sec.gov/Archives/edgar/data/37996/000003799622000013/f-20211231.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,F,USD,0000037996,2021-02-05,2021-02-04 18:58:09,2020,FY,127144000000.0,112752000000.0,14392000000.0,0.1131944881,7100000000.0,7393000000.0,2800000000.0,10193000000.0,679000000.0,10193000000.0,122945000000.0,452000000.0,1651000000.0,7457000000.0,7990000000.0,0.0628421318,8818000000.0,0.0693544328,3292000000.0,-1116000000.0,-0.0087774492,160000000.0,-1276000000.0,-0.0100358648,-0.32,-0.32,3973000000.0,3973000000.0,https://www.sec.gov/Archives/edgar/data/37996/000003799621000012/0000037996-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/37996/000003799621000012/f-20201231.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,F,USD,0000037996,2025-02-06,2025-02-05 20:44:08,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/37996/000003799625000013/0000037996-25-000013-index.htm,https://www.sec.gov/Archives/edgar/data/37996/000003799625000013/f-20241231.htm,balance-sheet-statement,22935000000.0,15413000000.0,38348000000.0,66573000000.0,14951000000.0,4602000000.0,124474000000.0,64875000000.0,0.0,0.0,0.0,6821000000.0,16375000000.0,72651000000.0,160722000000.0,0.0,285196000000.0,24128000000.0,55507000000.0,0.0,3331000000.0,1346000000.0,106859000000.0,105355000000.0,4910000000.0,1074000000.0,27050000000.0,133479000000.0,0.0,2340000000.0,240338000000.0,0.0,41000000.0,33740000000.0,-9639000000.0,20693000000.0,44835000000.0,44858000000.0,285196000000.0,23000000.0,285196000000.0,22234000000.0,160862000000.0,137927000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,F,USD,0000037996,2024-02-07,2024-02-06 19:33:55,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/37996/000003799624000009/0000037996-24-000009-index.htm,https://www.sec.gov/Archives/edgar/data/37996/000003799624000009/f-20231231.htm,balance-sheet-statement,24862000000.0,15309000000.0,40171000000.0,62026000000.0,15651000000.0,3633000000.0,121481000000.0,62205000000.0,683000000.0,0.0,683000000.0,5548000000.0,16985000000.0,66408000000.0,151829000000.0,0.0,273310000000.0,25992000000.0,50150000000.0,0.0,2515000000.0,22874000000.0,101531000000.0,100957000000.0,5051000000.0,1005000000.0,21968000000.0,128981000000.0,0.0,1876000000.0,230512000000.0,0.0,42000000.0,31029000000.0,-9042000000.0,20744000000.0,42773000000.0,42798000000.0,273310000000.0,25000000.0,273310000000.0,20857000000.0,151107000000.0,126245000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,F,USD,0000037996,2023-02-03,2023-02-02 19:39:34,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/37996/000003799623000012/0000037996-23-000012-index.htm,https://www.sec.gov/Archives/edgar/data/37996/000003799623000012/f-20221231.htm,balance-sheet-statement,25134000000.0,18936000000.0,44070000000.0,0.0,14080000000.0,58326000000.0,116476000000.0,61484000000.0,603000000.0,2350000000.0,2350000000.0,53307000000.0,15552000000.0,6715000000.0,139408000000.0,0.0,255884000000.0,25605000000.0,50568000000.0,0.0,2404000000.0,18289000000.0,96866000000.0,89906000000.0,4883000000.0,1549000000.0,19513000000.0,115851000000.0,0.0,1505000000.0,212717000000.0,0.0,42000000.0,31754000000.0,-9339000000.0,20785000000.0,43242000000.0,43167000000.0,255884000000.0,-75000000.0,255884000000.0,41708000000.0,140474000000.0,115340000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,F,USD,0000037996,2022-02-04,2022-02-03 18:24:07,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/37996/000003799622000013/0000037996-22-000013-index.htm,https://www.sec.gov/Archives/edgar/data/37996/000003799622000013/f-20211231.htm,balance-sheet-statement,20540000000.0,29053000000.0,49593000000.0,0.0,12065000000.0,47338000000.0,108996000000.0,64837000000.0,619000000.0,619000000.0,1238000000.0,56898000000.0,13796000000.0,11270000000.0,148039000000.0,0.0,257035000000.0,22349000000.0,50037000000.0,0.0,2349000000.0,15992000000.0,90727000000.0,89448000000.0,4683000000.0,1581000000.0,21974000000.0,117686000000.0,0.0,1393000000.0,208413000000.0,0.0,41000000.0,35769000000.0,-8339000000.0,21048000000.0,48519000000.0,48622000000.0,257035000000.0,103000000.0,257035000000.0,33598000000.0,139485000000.0,118945000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,F,USD,0000037996,2021-02-05,2021-02-04 18:58:09,2020,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/37996/000003799621000012/0000037996-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/37996/000003799621000012/f-20201231.htm,balance-sheet-statement,25243000000.0,24718000000.0,49961000000.0,0.0,10808000000.0,55975000000.0,116744000000.0,65034000000.0,258000000.0,144000000.0,402000000.0,4901000000.0,12423000000.0,67757000000.0,150517000000.0,0.0,267261000000.0,22204000000.0,51666000000.0,0.0,2161000000.0,21161000000.0,97192000000.0,111332000000.0,4559000000.0,538000000.0,22829000000.0,139258000000.0,0.0,1314000000.0,236450000000.0,0.0,41000000.0,18243000000.0,-8294000000.0,20700000000.0,30690000000.0,30811000000.0,267261000000.0,121000000.0,267261000000.0,29619000000.0,162998000000.0,137755000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,F,USD,0000037996,2025-02-06,2025-02-05 20:44:08,2024,FY,,,,,,,,,,,,,,5867000000.0,,,,,,,,,5894000000.0,,,,,,https://www.sec.gov/Archives/edgar/data/37996/000003799625000013/0000037996-25-000013-index.htm,https://www.sec.gov/Archives/edgar/data/37996/000003799625000013/f-20241231.htm,cash-flow-statement,,,,,27000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350000000.0,511000000.0,0.0,-2497000000.0,8425000000.0,0.0,2801000000.0,15423000000.0,0.0,0.0,-12568000000.0,12346000000.0,-24148000000.0,-24370000000.0,11356000000.0,0.0,-426000000.0,-3118000000.0,-327000000.0,7485000000.0,-458000000.0,-1920000000.0,23190000000.0,25110000000.0,15423000000.0,-8684000000.0,6739000000.0
2023-12-31,F,USD,0000037996,2024-02-07,2024-02-06 19:33:55,2023,FY,,,,,,,,,,,,,,6523000000.0,,,,,,,,,4347000000.0,,,,,,https://www.sec.gov/Archives/edgar/data/37996/000003799624000009/0000037996-24-000009-index.htm,https://www.sec.gov/Archives/edgar/data/37996/000003799624000009/f-20231231.htm,cash-flow-statement,,,,,-1219000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1649000000.0,460000000.0,1163000000.0,-7447000000.0,9829000000.0,0.0,4074000000.0,14918000000.0,-8236000000.0,-2733000000.0,-8728000000.0,12700000000.0,-10631000000.0,-17628000000.0,8155000000.0,0.0,-335000000.0,-4995000000.0,-241000000.0,2584000000.0,-104000000.0,-230000000.0,25110000000.0,25340000000.0,14918000000.0,-8236000000.0,6682000000.0
