date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,Statement_Type,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-12-31,GOOG,USD,0001652044,2025-02-05,2025-02-04 20:41:40,2024,FY,350018000000.0,146306000000.0,203712000000.0,0.5820043541,49326000000.0,14188000000.0,27808000000.0,41996000000.0,0.0,91322000000.0,237628000000.0,4482000000.0,268000000.0,15311000000.0,135394000000.0,0.3868201064,112390000000.0,0.3210977721,7425000000.0,119815000000.0,0.3423109669,19697000000.0,100118000000.0,0.2860367181,8.04,8.04,12447000973.0,12447000000.0,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/0001652044-25-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,GOOG,USD,0001652044,2024-01-31,2024-01-30 21:43:43,2023,FY,307394000000.0,133332000000.0,174062000000.0,0.5662504798,45427000000.0,16425000000.0,27917000000.0,44342000000.0,0.0,89769000000.0,223101000000.0,3865000000.0,308000000.0,11946000000.0,97971000000.0,0.3187147439,84293000000.0,0.2742181045,1424000000.0,85717000000.0,0.2788505957,11922000000.0,73795000000.0,0.2400664945,5.84,5.8,12630000000.0,12722000000.0,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000022/0001652044-24-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000022/goog-20231231.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,GOOG,USD,0001652044,2023-02-03,2023-02-02 21:23:45,2022,FY,282836000000.0,126203000000.0,156633000000.0,0.553794425,39500000000.0,15724000000.0,26567000000.0,42291000000.0,0.0,81791000000.0,207994000000.0,2174000000.0,357000000.0,13475000000.0,85160000000.0,0.301093213,74842000000.0,0.2646127084,-3514000000.0,71328000000.0,0.2521885474,11356000000.0,59972000000.0,0.2120380715,4.59,4.56,13063000000.0,13159000000.0,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000016/0001652044-23-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000016/goog-20221231.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,GOOG,USD,0001652044,2022-02-02,2022-02-01 21:08:02,2021,FY,257637000000.0,110939000000.0,146698000000.0,0.569398029,31562000000.0,13510000000.0,22912000000.0,36422000000.0,0.0,67984000000.0,178923000000.0,1499000000.0,346000000.0,12441000000.0,103521000000.0,0.4018095227,78714000000.0,0.3055228869,12020000000.0,90734000000.0,0.3521776763,14701000000.0,76033000000.0,0.2951167728,5.69,5.61,13353000000.0,13553480000.0,https://www.sec.gov/Archives/edgar/data/1652044/000165204422000019/0001652044-22-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204422000019/goog-20211231.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,GOOG,USD,0001652044,2021-02-03,2021-02-02 20:12:25,2020,FY,182527000000.0,84732000000.0,97795000000.0,0.5357837471,27573000000.0,11052000000.0,17946000000.0,28998000000.0,0.0,56571000000.0,141303000000.0,1865000000.0,135000000.0,13697000000.0,61914000000.0,0.3392046108,41224000000.0,0.2258515179,6858000000.0,48082000000.0,0.2634240414,7813000000.0,40269000000.0,0.2206194152,2.96,2.93,13616320000.0,13740560000.0,https://www.sec.gov/Archives/edgar/data/1652044/000165204421000010/0001652044-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204421000010/goog-20201231.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,GOOG,USD,0001652044,2025-02-05,2025-02-04 20:41:40,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/0001652044-25-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm,balance-sheet-statement,23466000000.0,72191000000.0,95657000000.0,52340000000.0,0.0,15714000000.0,163711000000.0,184624000000.0,31885000000.0,0.0,31885000000.0,37982000000.0,17180000000.0,14874000000.0,286545000000.0,0.0,450256000000.0,7987000000.0,2887000000.0,8782000000.0,5036000000.0,64430000000.0,89122000000.0,22574000000.0,0.0,0.0,13476000000.0,36050000000.0,0.0,14578000000.0,125172000000.0,0.0,84800000000.0,245084000000.0,-4800000000.0,0.0,325084000000.0,325084000000.0,450256000000.0,0.0,450256000000.0,110173000000.0,25461000000.0,1995000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,GOOG,USD,0001652044,2024-01-31,2024-01-30 21:43:43,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000022/0001652044-24-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000022/goog-20231231.htm,balance-sheet-statement,24048000000.0,86868000000.0,110916000000.0,47964000000.0,0.0,12650000000.0,171530000000.0,148436000000.0,29198000000.0,0.0,29198000000.0,31008000000.0,12169000000.0,10051000000.0,230862000000.0,0.0,402392000000.0,7493000000.0,2791000000.0,2748000000.0,4137000000.0,64645000000.0,81814000000.0,25350000000.0,911000000.0,485000000.0,10453000000.0,37199000000.0,0.0,16634000000.0,119013000000.0,0.0,76534000000.0,211247000000.0,-4402000000.0,0.0,283379000000.0,283379000000.0,402392000000.0,0.0,402392000000.0,117876000000.0,27121000000.0,3073000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,GOOG,USD,0001652044,2023-02-03,2023-02-02 21:23:45,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000016/0001652044-23-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000016/goog-20221231.htm,balance-sheet-statement,21879000000.0,91883000000.0,113762000000.0,40258000000.0,2670000000.0,8105000000.0,164795000000.0,127049000000.0,28960000000.0,2084000000.0,31044000000.0,30492000000.0,5261000000.0,6623000000.0,200469000000.0,0.0,365264000000.0,5128000000.0,2477000000.0,9258000000.0,3908000000.0,48529000000.0,69300000000.0,39703000000.0,599000000.0,514000000.0,-996000000.0,39820000000.0,0.0,14978000000.0,109120000000.0,0.0,68184000000.0,195563000000.0,-7603000000.0,0.0,256144000000.0,256144000000.0,365264000000.0,0.0,365264000000.0,122375000000.0,29679000000.0,7800000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,GOOG,USD,0001652044,2022-02-02,2022-02-01 21:08:02,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1652044/000165204422000019/0001652044-22-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204422000019/goog-20211231.htm,balance-sheet-statement,20945000000.0,118704000000.0,139649000000.0,39304000000.0,1170000000.0,8020000000.0,188143000000.0,110558000000.0,22956000000.0,1417000000.0,24373000000.0,29549000000.0,1284000000.0,5361000000.0,171125000000.0,0.0,359268000000.0,6037000000.0,2189000000.0,808000000.0,3288000000.0,51932000000.0,64254000000.0,39568000000.0,535000000.0,5257000000.0,-1981000000.0,43379000000.0,0.0,15551000000.0,107633000000.0,0.0,61774000000.0,191484000000.0,-1623000000.0,0.0,251635000000.0,251635000000.0,359268000000.0,0.0,359268000000.0,148253000000.0,26206000000.0,5261000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,GOOG,USD,0001652044,2021-02-03,2021-02-02 20:12:25,2020,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1652044/000165204421000010/0001652044-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204421000010/goog-20201231.htm,balance-sheet-statement,26465000000.0,110229000000.0,136694000000.0,31384000000.0,728000000.0,5490000000.0,174296000000.0,96960000000.0,21175000000.0,1445000000.0,22620000000.0,20703000000.0,1084000000.0,3953000000.0,145320000000.0,0.0,319616000000.0,5589000000.0,1694000000.0,1485000000.0,2543000000.0,45523000000.0,56834000000.0,37324000000.0,481000000.0,3561000000.0,-1128000000.0,40238000000.0,0.0,13940000000.0,97072000000.0,0.0,58510000000.0,163401000000.0,633000000.0,0.0,222544000000.0,222544000000.0,319616000000.0,0.0,319616000000.0,130932000000.0,25078000000.0,-1387000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
