date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,Statement_Type,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-12-31,LLY,USD,0000059478,2025-02-19,2025-02-19 10:10:59,2024,FY,45042700000.0,8418299999.0,36624400001.0,0.8131040102,10990600000.0,0.0,0.0,8593800000.0,0.0,19584400000.0,28002700000.0,175200000.0,780600000.0,1766600000.0,15227600000.0,0.3380703199,17501700000.0,0.3885579683,-4821300000.0,12680400000.0,0.2815195359,2090400000.0,10590000000.0,0.2351102398,11.8,11.71,897538000.0,904059000.0,https://www.sec.gov/Archives/edgar/data/59478/000005947825000067/0000059478-25-000067-index.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947825000067/lly-20241231.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,LLY,USD,0000059478,2024-02-21,2024-02-21 11:44:37,2023,FY,34124100000.0,7082200000.0,27041900000.0,0.79245753,9313400000.0,6941200000.0,0.0,6941200000.0,0.0,16254600000.0,27136600000.0,173600000.0,485900000.0,1527300000.0,8567800000.0,0.2510776841,10325400000.0,0.3025838044,-3770800000.0,6554600000.0,0.1920812564,1314200000.0,5240400000.0,0.1535688853,5.83,5.8,903517241.0,903284000.0,https://www.sec.gov/Archives/edgar/data/59478/000005947824000065/0000059478-24-000065-index.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947824000065/lly-20231231.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,LLY,USD,0000059478,2023-02-22,2023-02-22 10:26:53,2022,FY,28541400000.0,6629800000.0,21911600000.0,0.7677128662,7190800000.0,5100700000.0,1339700000.0,6440400000.0,0.0,13631200000.0,20796600000.0,62800000.0,331600000.0,1522500000.0,8660500000.0,0.3034364117,8653300000.0,0.3031841465,-1846900000.0,6806400000.0,0.2384746368,561600000.0,6244800000.0,0.2187979567,6.93,6.9,905043478.0,904619000.0,https://www.sec.gov/Archives/edgar/data/59478/000005947823000082/0000059478-23-000082-index.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947823000082/lly-20221231.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,LLY,USD,0000059478,2022-02-23,2022-02-23 11:00:57,2021,FY,28318400000.0,7312800000.0,21005600000.0,0.7417650715,6930700000.0,4901900000.0,1240000000.0,6141900000.0,0.0,13457500000.0,21015800000.0,25400000.0,339800000.0,1547600000.0,8042900000.0,0.2840167524,7302600000.0,0.2578747387,-1147100000.0,6155500000.0,0.2173675066,573800000.0,5581700000.0,0.1971050624,6.15,6.12,912042483.0,911681000.0,https://www.sec.gov/Archives/edgar/data/59478/000005947822000068/0000059478-22-000068-index.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947822000068/lly-20211231.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,LLY,USD,0000059478,2021-02-17,2021-02-17 10:59:12,2020,FY,24539800000.0,5483300000.0,19056500000.0,0.7765548211,6085700000.0,4769400000.0,1100000000.0,5869400000.0,7101400000.0,12206900000.0,18098800000.0,33000000.0,359600000.0,1323900000.0,8913400000.0,0.3632221941,6441000000.0,0.2624715768,788900000.0,7229900000.0,0.2946193531,1036200000.0,6193700000.0,0.25239407,6.47,6.79,912179675.0,912505000.0,https://www.sec.gov/Archives/edgar/data/59478/000005947821000083/0000059478-21-000083-index.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947821000083/lly-20201231.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,LLY,USD,0000059478,2025-02-19,2025-02-19 10:10:59,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/59478/000005947825000067/0000059478-25-000067-index.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947825000067/lly-20241231.htm,balance-sheet-statement,3268400000.0,154800000.0,3423200000.0,0.0,0.0,111400000.0,32739700000.0,17102400000.0,5770300000.0,6166300000.0,11936600000.0,3215900000.0,8000600000.0,5719700000.0,45975200000.0,0.0,78714900000.0,0.0,0.0,0.0,0.0,28376600000.0,28376600000.0,0.0,0.0,0.0,36066700000.0,36066700000.0,0.0,0.0,64443300000.0,0.0,592400000.0,0.0,-4321900000.0,17921600000.0,14192100000.0,14192100000.0,78714900000.0,0.0,78714900000.0,3370700000.0,33644200000.0,30375800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,LLY,USD,0000059478,2024-02-21,2024-02-21 11:44:37,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/59478/000005947824000065/0000059478-24-000065-index.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947824000065/lly-20231231.htm,balance-sheet-statement,2818600000.0,109100000.0,2927700000.0,11336200000.0,5772800000.0,5690300000.0,25727000000.0,12913600000.0,4939700000.0,6906600000.0,11846300000.0,3052200000.0,5477300000.0,4989900000.0,38279300000.0,0.0,64006300000.0,2598800000.0,6904500000.0,3849200000.0,0.0,13940700000.0,27293200000.0,18320800000.0,0.0,0.0,7528600000.0,25849400000.0,0.0,0.0,53142600000.0,0.0,593600000.0,10312300000.0,-4327000000.0,4193000000.0,10771900000.0,10863700000.0,64006300000.0,91800000.0,64006300000.0,3161300000.0,25225300000.0,22406700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,LLY,USD,0000059478,2023-02-22,2023-02-22 10:26:53,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/59478/000005947823000082/0000059478-23-000082-index.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947823000082/lly-20221231.htm,balance-sheet-statement,2067000000.0,144800000.0,2211800000.0,8558900000.0,4309700000.0,2954100000.0,18034500000.0,10144000000.0,4073000000.0,7206600000.0,11279600000.0,2901800000.0,2792900000.0,4337000000.0,31455300000.0,0.0,49489800000.0,1930600000.0,1501100000.0,475100000.0,0.0,13231400000.0,17138200000.0,14737500000.0,0.0,87300000.0,6751400000.0,21576200000.0,0.0,0.0,38714400000.0,0.0,594100000.0,10042600000.0,-6857800000.0,6870900000.0,10649800000.0,10775400000.0,49489800000.0,125600000.0,49489800000.0,3046600000.0,16238600000.0,14171600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,LLY,USD,0000059478,2022-02-23,2022-02-23 11:00:57,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/59478/000005947822000068/0000059478-22-000068-index.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947822000068/lly-20211231.htm,balance-sheet-statement,3818500000.0,90100000.0,3908600000.0,8127200000.0,3886000000.0,2530600000.0,18452400000.0,8985100000.0,3892000000.0,7691900000.0,11583900000.0,3212600000.0,2489300000.0,4082700000.0,30353600000.0,0.0,48806000000.0,1670600000.0,1538300000.0,126900000.0,0.0,11716900000.0,15052700000.0,15346400000.0,0.0,1733700000.0,7518400001.0,24598500001.0,-1.0,0.0,39651200000.0,3013199999.0,596300000.0,8958500000.0,-7356299999.0,6780699999.0,8979200000.0,9154800000.0,48806000000.0,175600000.0,48806000000.0,3302700000.0,16884700000.0,13066200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,LLY,USD,0000059478,2021-02-17,2021-02-17 10:59:12,2020,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/59478/000005947821000083/0000059478-21-000083-index.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947821000083/lly-20201231.htm,balance-sheet-statement,3657100000.0,24200000.0,3681300000.0,6929000000.0,3980300000.0,2871500000.0,17462100000.0,8681900000.0,3766500000.0,7450000000.0,11216500000.0,2966800000.0,2830400000.0,3475400000.0,29171000000.0,0.0,46633100000.0,1606700000.0,8700000.0,495100000.0,0.0,10371100000.0,12481600000.0,16586600000.0,0.0,2099900000.0,9639800000.0,28326300000.0,0.0,0.0,40807900000.0,3013199999.0,598200000.0,7830200000.0,-9509599999.0,6722799999.0,5641600000.0,5825200000.0,46633100000.0,183600000.0,46633100000.0,2991000000.0,16595300000.0,12938200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
