date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,Statement_Type,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-12-31,LMT,USD,0000936468,2025-01-28,2025-01-28 16:12:50,2024,FY,71043000000.0,64113000000.0,6930000000.0,0.0975465563,0.0,0.0,0.0,-83000000.0,0.0,-83000000.0,64030000000.0,0.0,1036000000.0,1560000000.0,8816000000.0,0.1240938586,7013000000.0,0.0987148628,-793000000.0,6220000000.0,0.087552609,884000000.0,5336000000.0,0.0751094408,22.39,22.31,238300000.0,239200000.0,https://www.sec.gov/Archives/edgar/data/936468/000093646825000009/0000936468-25-000009-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646825000009/lmt-20241231.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,LMT,USD,0000936468,2024-01-23,2024-01-23 16:17:08,2023,FY,67571000000.0,59092000000.0,8479000000.0,0.1254828255,1500000000.0,0.0,0.0,-1528000000.0,0.0,-28000000.0,59064000000.0,0.0,916000000.0,1430000000.0,10444000000.0,0.1545633482,8507000000.0,0.1258972044,-409000000.0,8098000000.0,0.1198443119,1178000000.0,6920000000.0,0.1024107975,27.65,27.55,250300000.0,251200000.0,https://www.sec.gov/Archives/edgar/data/936468/000093646824000010/0000936468-24-000010-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646824000010/lmt-20231231.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,LMT,USD,0000936468,2023-01-26,2023-01-26 16:29:45,2022,FY,65984000000.0,57697000000.0,8287000000.0,0.1255910524,1700000000.0,0.0,0.0,865000000.0,-61000000.0,-61000000.0,57636000000.0,623000000.0,623000000.0,1404000000.0,8707000000.0,0.1319562318,8348000000.0,0.1265155189,-1668000000.0,6680000000.0,0.1012366634,948000000.0,5732000000.0,0.0868695441,21.74,21.66,263700000.0,264600000.0,https://www.sec.gov/Archives/edgar/data/936468/000093646823000009/0000936468-23-000009-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646823000009/lmt-20221231.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,LMT,USD,0000936468,2022-01-25,2022-01-25 07:58:39,2021,FY,67044000000.0,57983000000.0,9061000000.0,0.1351500507,1500000000.0,0.0,0.0,1241000000.0,-62000000.0,-62000000.0,57921000000.0,569000000.0,569000000.0,1364000000.0,9483000000.0,0.1414444246,9123000000.0,0.1360748165,-1573000000.0,7550000000.0,0.1126126126,1235000000.0,6315000000.0,0.094191874,22.85,22.77,276400000.0,277400000.0,https://www.sec.gov/Archives/edgar/data/936468/000093646822000008/0000936468-22-000008-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646822000008/lmt-20211231.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,LMT,USD,0000936468,2021-01-28,2021-01-28 17:08:55,2020,FY,65398000000.0,56744000000.0,8654000000.0,0.1323282058,1300000000.0,0.0,0.0,241000000.0,10000000.0,10000000.0,56754000000.0,591000000.0,591000000.0,1290000000.0,10116000000.0,0.1546836295,8644000000.0,0.1321752959,-409000000.0,8235000000.0,0.125921282,1347000000.0,6833000000.0,0.1044833175,24.4,24.3,280000000.0,281200000.0,https://www.sec.gov/Archives/edgar/data/936468/000093646821000013/0000936468-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646821000013/lmt-20201231.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,LMT,USD,0000936468,2025-01-28,2025-01-28 16:12:50,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/936468/000093646825000009/0000936468-25-000009-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646825000009/lmt-20241231.htm,balance-sheet-statement,2483000000.0,0.0,2483000000.0,15308000000.0,3474000000.0,584000000.0,21849000000.0,8726000000.0,11067000000.0,2015000000.0,13082000000.0,0.0,3557000000.0,8403000000.0,33768000000.0,0.0,55617000000.0,2222000000.0,643000000.0,0.0,9795000000.0,6760000000.0,19420000000.0,19627000000.0,0.0,0.0,10237000000.0,29864000000.0,0.0,0.0,49284000000.0,0.0,234000000.0,14551000000.0,-8452000000.0,0.0,6333000000.0,6333000000.0,55617000000.0,0.0,55617000000.0,0.0,20270000000.0,17787000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,LMT,USD,0000936468,2024-01-23,2024-01-23 16:17:08,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/936468/000093646824000010/0000936468-24-000010-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646824000010/lmt-20231231.htm,balance-sheet-statement,1442000000.0,2413000000.0,1442000000.0,15315000000.0,3132000000.0,632000000.0,20521000000.0,8370000000.0,10799000000.0,2212000000.0,13011000000.0,701000000.0,2953000000.0,6900000000.0,31935000000.0,0.0,52456000000.0,2312000000.0,168000000.0,0.0,9190000000.0,5267000000.0,16937000000.0,17291000000.0,0.0,0.0,11393000000.0,28684000000.0,0.0,0.0,45621000000.0,0.0,240000000.0,15398000000.0,-8803000000.0,0.0,6835000000.0,6835000000.0,52456000000.0,0.0,52456000000.0,3114000000.0,17459000000.0,16017000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,LMT,USD,0000936468,2023-01-26,2023-01-26 16:29:45,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/936468/000093646823000009/0000936468-23-000009-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646823000009/lmt-20221231.htm,balance-sheet-statement,2547000000.0,0.0,2547000000.0,14823000000.0,3088000000.0,533000000.0,20991000000.0,7975000000.0,10780000000.0,2459000000.0,13239000000.0,2903000000.0,3744000000.0,4028000000.0,31889000000.0,0.0,52880000000.0,2117000000.0,118000000.0,0.0,8488000000.0,5164000000.0,15887000000.0,15429000000.0,0.0,0.0,12298000000.0,27727000000.0,0.0,0.0,43614000000.0,0.0,254000000.0,16943000000.0,-8023000000.0,92000000.0,9266000000.0,9266000000.0,52880000000.0,0.0,52880000000.0,2903000000.0,15429000000.0,12882000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,LMT,USD,0000936468,2022-01-25,2022-01-25 07:58:39,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/936468/000093646822000008/0000936468-22-000008-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646822000008/lmt-20211231.htm,balance-sheet-statement,3604000000.0,0.0,3604000000.0,12542000000.0,2981000000.0,688000000.0,19815000000.0,7597000000.0,10813000000.0,2706000000.0,13519000000.0,3434000000.0,2290000000.0,4218000000.0,31058000000.0,0.0,50873000000.0,780000000.0,6000000.0,3108000000.0,8107000000.0,1996000000.0,13997000000.0,11670000000.0,0.0,0.0,14247000000.0,25917000000.0,0.0,0.0,39914000000.0,0.0,271000000.0,21600000000.0,-11006000000.0,94000000.0,10959000000.0,10959000000.0,50873000000.0,0.0,50873000000.0,3434000000.0,11676000000.0,8072000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,LMT,USD,0000936468,2021-01-28,2021-01-28 17:08:55,2020,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/936468/000093646821000013/0000936468-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/936468/000093646821000013/lmt-20201231.htm,balance-sheet-statement,3160000000.0,0.0,3160000000.0,11523000000.0,3545000000.0,1150000000.0,19378000000.0,7213000000.0,10806000000.0,3012000000.0,13818000000.0,3469000000.0,3475000000.0,3357000000.0,31332000000.0,0.0,50710000000.0,880000000.0,500000000.0,3163000000.0,7545000000.0,1845000000.0,13933000000.0,11669000000.0,0.0,0.0,19070000000.0,30739000000.0,0.0,0.0,44672000000.0,0.0,279000000.0,21636000000.0,-16121000000.0,221000000.0,6015000000.0,6038000000.0,50710000000.0,23000000.0,50710000000.0,3469000000.0,12169000000.0,9009000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
