date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,Statement_Type,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-12-31,META,USD,0001326801,2025-01-30,2025-01-29 20:00:50,2024,FY,164501000000.0,30161000000.0,134340000000.0,0.8166515705,43873000000.0,9740000000.0,11347000000.0,21087000000.0,0.0,64960000000.0,95121000000.0,2517000000.0,544000000.0,15498000000.0,86876000000.0,0.5281183701,69380000000.0,0.421760354,1283000000.0,70663000000.0,0.4295596987,8303000000.0,62360000000.0,0.3790858414,24.61,23.86,2534000000.0,2614000000.0,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000017/0001326801-25-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000017/meta-20241231.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,META,USD,0001326801,2024-02-02,2024-02-01 19:39:02,2023,FY,134902000000.0,25959000000.0,108943000000.0,0.8075714222,38483000000.0,11408000000.0,12301000000.0,23709000000.0,0.0,62192000000.0,88151000000.0,1639000000.0,446000000.0,11178000000.0,59052000000.0,0.437739989,46751000000.0,0.3465552772,677000000.0,47428000000.0,0.351573735,8330000000.0,39098000000.0,0.2898252064,15.19,14.87,2574000000.0,2629000000.0,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000012/0001326801-24-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000012/meta-20231231.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,META,USD,0001326801,2023-02-02,2023-02-01 20:26:31,2022,FY,116609000000.0,25249000000.0,91360000000.0,0.7834729738,35338000000.0,11816000000.0,15262000000.0,27078000000.0,-320000000.0,62416000000.0,87665000000.0,276000000.0,276000000.0,8686000000.0,42241000000.0,0.3622447667,33555000000.0,0.2877565197,-125000000.0,28819000000.0,0.2471421588,5619000000.0,23200000000.0,0.1989554837,8.63,8.59,2687000000.0,2702000000.0,https://www.sec.gov/Archives/edgar/data/1326801/000132680123000013/0001326801-23-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680123000013/meta-20221231.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,META,USD,0001326801,2022-02-03,2022-02-02 21:11:04,2021,FY,117929000000.0,22649000000.0,95280000000.0,0.8079437628,24655000000.0,9829000000.0,14043000000.0,23872000000.0,210000000.0,48527000000.0,71176000000.0,531000000.0,461000000.0,7967000000.0,54720000000.0,0.4640080048,46753000000.0,0.3964504066,531000000.0,47284000000.0,0.4009531159,7914000000.0,39370000000.0,0.3338449406,13.99,13.77,2815000000.0,2859000000.0,https://www.sec.gov/Archives/edgar/data/1326801/000132680122000018/0001326801-22-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680122000018/fb-20211231.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,META,USD,0001326801,2021-01-28,2021-01-27 21:13:48,2020,FY,85965000000.0,16692000000.0,69273000000.0,0.8058279532,18447000000.0,6564000000.0,11591000000.0,18155000000.0,-34000000.0,36602000000.0,53294000000.0,509000000.0,672000000.0,6862000000.0,39533000000.0,0.4598732042,32671000000.0,0.3800500204,509000000.0,33180000000.0,0.3859710347,4034000000.0,29146000000.0,0.3390449602,10.22,10.09,2851000000.0,2888000000.0,https://www.sec.gov/Archives/edgar/data/1326801/000132680121000014/0001326801-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680121000014/fb-20201231.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,META,USD,0001326801,2025-01-30,2025-01-29 20:00:50,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000017/0001326801-25-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000017/meta-20241231.htm,balance-sheet-statement,43889000000.0,33926000000.0,77815000000.0,16994000000.0,0.0,5236000000.0,100045000000.0,136268000000.0,20654000000.0,915000000.0,21569000000.0,6070000000.0,0.0,12102000000.0,176009000000.0,0.0,276054000000.0,7687000000.0,1942000000.0,9987000000.0,0.0,13980000000.0,33596000000.0,47118000000.0,0.0,0.0,12703000000.0,59821000000.0,0.0,20234000000.0,93417000000.0,0.0,0.0,102506000000.0,-3097000000.0,83228000000.0,182637000000.0,182637000000.0,276054000000.0,0.0,276054000000.0,39996000000.0,49060000000.0,5171000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,META,USD,0001326801,2024-02-02,2024-02-01 19:39:02,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000012/0001326801-24-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680124000012/meta-20231231.htm,balance-sheet-statement,41862000000.0,23541000000.0,65403000000.0,16169000000.0,0.0,3793000000.0,85365000000.0,109881000000.0,20654000000.0,788000000.0,21442000000.0,6141000000.0,0.0,6794000000.0,144258000000.0,0.0,229623000000.0,4849000000.0,1623000000.0,3655000000.0,0.0,21833000000.0,31960000000.0,35611000000.0,0.0,0.0,8884000000.0,44495000000.0,0.0,18849000000.0,76455000000.0,0.0,0.0,82070000000.0,-2155000000.0,73253000000.0,153168000000.0,153168000000.0,229623000000.0,0.0,229623000000.0,29682000000.0,37234000000.0,-4628000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,META,USD,0001326801,2023-02-02,2023-02-01 20:26:31,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1326801/000132680123000013/0001326801-23-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680123000013/meta-20221231.htm,balance-sheet-statement,14681000000.0,26057000000.0,40738000000.0,13466000000.0,0.0,5345000000.0,59549000000.0,92191000000.0,20306000000.0,897000000.0,21203000000.0,6201000000.0,0.0,6583000000.0,126178000000.0,0.0,185727000000.0,4990000000.0,1367000000.0,2339000000.0,15763000000.0,18330000000.0,27026000000.0,25224000000.0,-5490000000.0,5490000000.0,7764000000.0,32988000000.0,0.0,16668000000.0,60014000000.0,0.0,64444000000.0,64799000000.0,-3530000000.0,64444000000.0,125713000000.0,125713000000.0,185727000000.0,0.0,185727000000.0,32258000000.0,26591000000.0,11910000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,META,USD,0001326801,2022-02-03,2022-02-02 21:11:04,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1326801/000132680122000018/0001326801-22-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680122000018/fb-20211231.htm,balance-sheet-statement,16601000000.0,31397000000.0,47998000000.0,14039000000.0,0.0,4480000000.0,66666000000.0,69964000000.0,19197000000.0,634000000.0,19831000000.0,6775000000.0,0.0,2751000000.0,99321000000.0,0.0,165987000000.0,4083000000.0,1127000000.0,1256000000.0,561000000.0,14108000000.0,21135000000.0,12746000000.0,0.0,0.0,7227000000.0,19973000000.0,0.0,13873000000.0,41108000000.0,0.0,55811000000.0,69761000000.0,-693000000.0,55811000000.0,124879000000.0,124879000000.0,165987000000.0,0.0,165987000000.0,38172000000.0,13873000000.0,-2728000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,META,USD,0001326801,2021-01-28,2021-01-27 21:13:48,2020,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1326801/000132680121000014/0001326801-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1326801/000132680121000014/fb-20201231.htm,balance-sheet-statement,17576000000.0,44378000000.0,61954000000.0,11335000000.0,0.0,2140000000.0,75670000000.0,54981000000.0,19050000000.0,623000000.0,19673000000.0,6234000000.0,0.0,2758000000.0,83646000000.0,0.0,159316000000.0,1331000000.0,1023000000.0,2038000000.0,382000000.0,10207000000.0,14981000000.0,9631000000.0,0.0,0.0,6414000000.0,16045000000.0,0.0,10654000000.0,31026000000.0,0.0,50018000000.0,77345000000.0,927000000.0,50018000000.0,128290000000.0,128290000000.0,159316000000.0,0.0,159316000000.0,50612000000.0,10654000000.0,-6922000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
