date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,Statement_Type,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-06-30,MSFT,USD,0000789019,2024-07-30,2024-07-30 16:06:22,2024,FY,245122000000.0,74114000000.0,171008000000.0,0.6976444383,29510000000.0,7609000000.0,24456000000.0,32065000000.0,0.0,61575000000.0,135689000000.0,3157000000.0,2935000000.0,22287000000.0,133009000000.0,0.5426236731,109433000000.0,0.4464429957,-1646000000.0,107787000000.0,0.4397279722,19651000000.0,88136000000.0,0.3595597294,11.86,11.8,7431000000.0,7469000000.0,https://www.sec.gov/Archives/edgar/data/789019/000095017024087843/0000950170-24-087843-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017024087843/msft-20240630.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-30,MSFT,USD,0000789019,2023-07-27,2023-07-27 16:01:56,2023,FY,211915000000.0,65863000000.0,146052000000.0,0.6892008588,27195000000.0,7575000000.0,22759000000.0,30334000000.0,-223000000.0,57529000000.0,123392000000.0,2994000000.0,1968000000.0,13861000000.0,105140000000.0,0.4961423212,88523000000.0,0.4177288064,788000000.0,89311000000.0,0.4214472784,16950000000.0,72361000000.0,0.3414623788,9.72,9.68,7446000000.0,7472000000.0,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/0000950170-23-035122-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/msft-20230630.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-30,MSFT,USD,0000789019,2022-07-28,2022-07-28 16:06:19,2022,FY,198270000000.0,62650000000.0,135620000000.0,0.6840167448,24512000000.0,5900000000.0,21825000000.0,27725000000.0,-32000000.0,52237000000.0,114887000000.0,2094000000.0,2063000000.0,14460000000.0,100239000000.0,0.5055681646,83383000000.0,0.4205527816,333000000.0,83716000000.0,0.4222323095,10978000000.0,72738000000.0,0.3668633681,9.7,9.65,7496000000.0,7540000000.0,https://www.sec.gov/Archives/edgar/data/789019/000156459022026876/0001564590-22-026876-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459022026876/msft-10k_20220630.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-30,MSFT,USD,0000789019,2021-07-29,2021-07-29 16:21:55,2021,FY,168088000000.0,52232000000.0,115856000000.0,0.6892580077,20716000000.0,5107000000.0,20117000000.0,25224000000.0,98000000.0,45940000000.0,98172000000.0,2131000000.0,2346000000.0,11686000000.0,85134000000.0,0.5064846985,69916000000.0,0.4159487887,1186000000.0,71102000000.0,0.4230046166,9831000000.0,61271000000.0,0.3645173956,8.12,8.05,7547000000.0,7608000000.0,https://www.sec.gov/Archives/edgar/data/789019/000156459021039151/0001564590-21-039151-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459021039151/msft-10k_20210630.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-30,MSFT,USD,0000789019,2020-07-30,2020-07-30 20:44:46,2020,FY,143015000000.0,46078000000.0,96937000000.0,0.6778100199,19269000000.0,5111000000.0,19598000000.0,24709000000.0,-40000000.0,43978000000.0,90056000000.0,2680000000.0,2591000000.0,12796000000.0,68423000000.0,0.4784323323,52959000000.0,0.3703038143,77000000.0,53036000000.0,0.3708422193,8755000000.0,44281000000.0,0.3096248645,5.82,5.76,7610000000.0,7683000000.0,https://www.sec.gov/Archives/edgar/data/789019/000156459020034944/0001564590-20-034944-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459020034944/msft-10k_20200630.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-30,MSFT,USD,0000789019,2024-07-30,2024-07-30 16:06:22,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/789019/000095017024087843/0000950170-24-087843-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017024087843/msft-20240630.htm,balance-sheet-statement,18315000000.0,57216000000.0,75531000000.0,56924000000.0,1246000000.0,26033000000.0,159734000000.0,154552000000.0,119220000000.0,27597000000.0,146817000000.0,14600000000.0,0.0,36460000000.0,352429000000.0,0.0,512163000000.0,21996000000.0,8942000000.0,5017000000.0,57582000000.0,31749000000.0,125286000000.0,58185000000.0,2602000000.0,2618000000.0,54995000000.0,118400000000.0,0.0,15497000000.0,243686000000.0,0.0,100923000000.0,173144000000.0,-5590000000.0,0.0,268477000000.0,268477000000.0,512163000000.0,0.0,512163000000.0,71816000000.0,67127000000.0,48812000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-30,MSFT,USD,0000789019,2023-07-27,2023-07-27 16:01:56,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/0000950170-23-035122-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/msft-20230630.htm,balance-sheet-statement,34704000000.0,76552000000.0,111256000000.0,48688000000.0,2500000000.0,21813000000.0,184257000000.0,109987000000.0,67886000000.0,9366000000.0,77252000000.0,9879000000.0,0.0,30601000000.0,227719000000.0,0.0,411976000000.0,18095000000.0,5247000000.0,4152000000.0,50901000000.0,25754000000.0,104149000000.0,54718000000.0,2912000000.0,433000000.0,43541000000.0,101604000000.0,0.0,12728000000.0,205753000000.0,0.0,93718000000.0,118848000000.0,-6343000000.0,0.0,206223000000.0,206223000000.0,411976000000.0,0.0,411976000000.0,86431000000.0,59965000000.0,25261000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-30,MSFT,USD,0000789019,2022-07-28,2022-07-28 16:06:19,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/789019/000156459022026876/0001564590-22-026876-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459022026876/msft-10k_20220630.htm,balance-sheet-statement,13931000000.0,90818000000.0,104749000000.0,44261000000.0,3742000000.0,16932000000.0,169684000000.0,87546000000.0,67524000000.0,11298000000.0,78822000000.0,6891000000.0,0.0,21897000000.0,195156000000.0,0.0,364840000000.0,19000000000.0,2749000000.0,4067000000.0,45538000000.0,23728000000.0,95082000000.0,58521000000.0,2870000000.0,230000000.0,41595000000.0,103216000000.0,0.0,11489000000.0,198298000000.0,0.0,86939000000.0,84281000000.0,-4678000000.0,0.0,166542000000.0,166542000000.0,364840000000.0,0.0,364840000000.0,97709000000.0,61270000000.0,47339000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-30,MSFT,USD,0000789019,2021-07-29,2021-07-29 16:21:55,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/789019/000156459021039151/0001564590-21-039151-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459021039151/msft-10k_20210630.htm,balance-sheet-statement,14224000000.0,116032000000.0,130256000000.0,38043000000.0,2636000000.0,13471000000.0,184406000000.0,70803000000.0,49711000000.0,7800000000.0,57511000000.0,5984000000.0,0.0,15075000000.0,149373000000.0,0.0,333779000000.0,15163000000.0,8072000000.0,2174000000.0,41525000000.0,21723000000.0,88657000000.0,59703000000.0,2616000000.0,198000000.0,40617000000.0,103134000000.0,0.0,9629000000.0,191791000000.0,0.0,83111000000.0,57055000000.0,1822000000.0,0.0,141988000000.0,141988000000.0,333779000000.0,0.0,333779000000.0,122016000000.0,67775000000.0,53551000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-30,MSFT,USD,0000789019,2020-07-30,2020-07-30 20:44:46,2020,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/789019/000156459020034944/0001564590-20-034944-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459020034944/msft-10k_20200630.htm,balance-sheet-statement,13576000000.0,122951000000.0,136527000000.0,32011000000.0,1895000000.0,11482000000.0,181915000000.0,52904000000.0,43351000000.0,7038000000.0,50389000000.0,2965000000.0,0.0,13138000000.0,119396000000.0,0.0,301311000000.0,12530000000.0,3749000000.0,2130000000.0,36000000000.0,17901000000.0,72310000000.0,67249000000.0,3180000000.0,204000000.0,40064000000.0,110697000000.0,0.0,7671000000.0,183007000000.0,0.0,80552000000.0,34566000000.0,3186000000.0,0.0,118304000000.0,118304000000.0,301311000000.0,0.0,301311000000.0,125916000000.0,70998000000.0,57422000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
