date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,Statement_Type,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-12-31,NFLX,USD,0001065280,2025-01-27,2025-01-27 16:01:56,2024,FY,39000966000.0,21038464000.0,17962502000.0,0.4605655665,2925295000.0,1702039000.0,2917554000.0,4619593000.0,0.0,7544888000.0,28583352000.0,0.0,718733000.0,15630431000.0,24877355000.0,0.637865098,10417614000.0,0.2671116915,-451957000.0,9965657000.0,0.2555233376,1254026000.0,8711631000.0,0.2233696212,20.28,19.83,429519000.0,439261000.0,https://www.sec.gov/Archives/edgar/data/1065280/000106528025000044/0001065280-25-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528025000044/nflx-20241231.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,NFLX,USD,0001065280,2024-01-26,2024-01-26 16:01:56,2023,FY,33723297000.0,19715368000.0,14007929000.0,0.4153783955,2675758000.0,1720285000.0,2657883000.0,4378168000.0,0.0,7053926000.0,26769294000.0,0.0,748598000.0,14554384000.0,21508387000.0,0.6377901603,6954003000.0,0.2062076849,-748598000.0,6205405000.0,0.1840094401,797415000.0,5407990000.0,0.1603636204,12.25,12.03,441571000.0,449498000.0,https://www.sec.gov/Archives/edgar/data/1065280/000106528024000030/0001065280-24-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528024000030/nflx-20231231.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,NFLX,USD,0001065280,2023-01-26,2023-01-26 16:03:50,2022,FY,31615550000.0,19168285000.0,12447265000.0,0.3937070524,2711041000.0,1572891000.0,2530502000.0,4103393000.0,0.0,6814434000.0,25982719000.0,337310000.0,706212000.0,14362814000.0,20332955000.0,0.6431314654,5632831000.0,0.1781664719,-368902000.0,5263929000.0,0.1664980998,772005000.0,4491924000.0,0.1420795779,10.1,9.95,444698000.0,451290000.0,https://www.sec.gov/Archives/edgar/data/1065280/000106528023000035/0001065280-23-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528023000035/nflx-20221231.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,NFLX,USD,0001065280,2022-01-27,2022-01-27 17:03:33,2021,FY,29697844000.0,17332683000.0,12365161000.0,0.4163656123,2273885000.0,1351621000.0,2545146000.0,3896767000.0,0.0,6170652000.0,23503335000.0,411214000.0,765620000.0,12438779000.0,19044502000.0,0.6412755754,6194509000.0,0.2085844683,-354406000.0,5840103000.0,0.19665074,723875000.0,5116228000.0,0.172276075,11.55,11.24,443155000.0,455372000.0,https://www.sec.gov/Archives/edgar/data/1065280/000106528022000036/0001065280-22-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528022000036/nflx-20211231.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,NFLX,USD,0001065280,2021-01-28,2021-01-28 16:21:59,2020,FY,24996056000.0,15276319000.0,9719737000.0,0.3888508251,1829600000.0,1076486000.0,2228362000.0,3304848000.0,0.0,5134448000.0,20410767000.0,725940000.0,1385940000.0,10922622000.0,15507911000.0,0.6204143166,4585289000.0,0.1834404996,-1385940000.0,3199349000.0,0.1279941524,437954000.0,2761395000.0,0.1104732283,6.26,6.08,440922000.0,454208000.0,https://www.sec.gov/Archives/edgar/data/1065280/000106528021000040/0001065280-21-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528021000040/nflx-20201231.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,NFLX,USD,0001065280,2025-01-27,2025-01-27 16:01:56,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1065280/000106528025000044/0001065280-25-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528025000044/nflx-20241231.htm,balance-sheet-statement,7804733000.0,1779006000.0,9583739000.0,1988304000.0,0.0,1528336000.0,13100379000.0,1593756000.0,0.0,32452462000.0,32452462000.0,0.0,0.0,6483777000.0,40529995000.0,0.0,53630374000.0,899909000.0,1784453000.0,0.0,1520813000.0,6550225000.0,10755400000.0,13798351000.0,0.0,0.0,4333056000.0,18131407000.0,0.0,0.0,28886807000.0,0.0,6252126000.0,31300917000.0,362162000.0,-13171638000.0,24743567000.0,24743567000.0,53630374000.0,0.0,53630374000.0,1779006000.0,15582804000.0,7778071000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,NFLX,USD,0001065280,2024-01-26,2024-01-26 16:01:56,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1065280/000106528024000030/0001065280-24-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528024000030/nflx-20231231.htm,balance-sheet-statement,7116913000.0,20973000.0,7137886000.0,1842054000.0,0.0,938193000.0,9918133000.0,3568343000.0,0.0,12722701000.0,12722701000.0,0.0,0.0,22522815000.0,38813859000.0,0.0,48731992000.0,747412000.0,399844000.0,0.0,1442969000.0,6270430000.0,8860655000.0,16190218000.0,0.0,0.0,3092806000.0,19283024000.0,0.0,2046801000.0,28143679000.0,0.0,5145172000.0,22589286000.0,-223945000.0,-6922200000.0,20588313000.0,20588313000.0,48731992000.0,0.0,48731992000.0,20973000.0,14543261000.0,7426348000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,NFLX,USD,0001065280,2023-01-26,2023-01-26 16:03:50,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1065280/000106528023000035/0001065280-23-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528023000035/nflx-20221231.htm,balance-sheet-statement,5147176000.0,911276000.0,6058452000.0,988898000.0,0.0,2219123000.0,9266473000.0,3625379000.0,0.0,32736713000.0,32736713000.0,19996000.0,261541000.0,2684666000.0,39328295000.0,0.0,48594768000.0,671513000.0,0.0,0.0,1264661000.0,5994800000.0,7930974000.0,16575579000.0,0.0,0.0,3310814000.0,19886393000.0,0.0,2222503000.0,27817367000.0,0.0,4637601000.0,17181296000.0,-217306000.0,-824190000.0,20777401000.0,20777401000.0,48594768000.0,0.0,48594768000.0,911276000.0,14353076000.0,9205900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,NFLX,USD,0001065280,2022-01-27,2022-01-27 17:03:33,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1065280/000106528022000036/0001065280-22-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528022000036/nflx-20211231.htm,balance-sheet-statement,6027804000.0,0.0,6027804000.0,804320000.0,0.0,1237701000.0,8069825000.0,3770026000.0,0.0,30919539000.0,30919539000.0,24118000.0,148095000.0,1653060000.0,36514838000.0,0.0,44584663000.0,837483000.0,699823000.0,0.0,1209342000.0,5742318000.0,8488966000.0,17101558000.0,0.0,0.0,3144891000.0,20246449000.0,0.0,2408486000.0,28735415000.0,0.0,4024561000.0,12689372000.0,-40495000.0,-824190000.0,15849248000.0,15849248000.0,44584663000.0,0.0,44584663000.0,24118000.0,15392895000.0,9365091000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,NFLX,USD,0001065280,2021-01-28,2021-01-28 16:21:59,2020,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1065280/000106528021000040/0001065280-21-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528021000040/nflx-20201231.htm,balance-sheet-statement,8205550000.0,0.0,8205550000.0,610819000.0,0.0,945211000.0,9761580000.0,2997909000.0,0.0,25383950000.0,25383950000.0,31537000.0,589091000.0,516291999.0,29518778999.0,0.0,39280359000.0,656183000.0,499878000.0,0.0,1117992000.0,5531732000.0,7805785000.0,17754726000.0,0.0,0.0,2654608000.0,20409334000.0,0.0,1945631000.0,28215119000.0,0.0,3447698000.0,7573144000.0,44398000.0,0.0,11065240000.0,11065240000.0,39280359000.0,0.0,39280359000.0,31537000.0,16308973000.0,8103423000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
