date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,Statement_Type,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-01-28,NVDA,USD,0001045810,2024-02-21,2024-02-21 16:36:57,2024,FY,60922000000.0,16621000000.0,44301000000.0,0.7271757329,8675000000.0,0.0,0.0,2654000000.0,0.0,11329000000.0,27950000000.0,866000000.0,257000000.0,1508000000.0,35583000000.0,0.5840747185,32972000000.0,0.5412166377,846000000.0,33818000000.0,0.5551032468,4058000000.0,29760000000.0,0.4884934835,1.21,1.19,24690000000.0,24940000000.0,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000029/0001045810-24-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000029/nvda-20240128.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-29,NVDA,USD,0001045810,2023-02-24,2023-02-24 17:23:43,2023,FY,26974000000.0,11618000000.0,15356000000.0,0.5692889449,7339000000.0,0.0,0.0,2440000000.0,-48000000.0,9779000000.0,21397000000.0,267000000.0,262000000.0,1544000000.0,5987000000.0,0.2721138874,4224000000.0,0.1565952399,-43000000.0,4181000000.0,0.1550011122,-187000000.0,4368000000.0,0.1619337139,0.18,0.17,24870000000.0,25070000000.0,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000017/0001045810-23-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000017/nvda-20230129.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-30,NVDA,USD,0001045810,2022-03-18,2022-03-17 20:33:34,2022,FY,26914000000.0,9439000000.0,17475000000.0,0.6492903322,5268000000.0,0.0,0.0,2166000000.0,107000000.0,7434000000.0,16873000000.0,29000000.0,236000000.0,1174000000.0,11351000000.0,0.4217507617,10041000000.0,0.3730772089,-100000000.0,9941000000.0,0.3693616705,189000000.0,9752000000.0,0.362339303,0.39,0.39,24960000000.0,25350000000.0,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000036/0001045810-22-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000036/nvda-20220130.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,NVDA,USD,0001045810,2021-02-26,2021-02-26 17:03:14,2021,FY,16675000000.0,6279000000.0,10396000000.0,0.6234482759,3924000000.0,0.0,0.0,1940000000.0,4000000.0,5864000000.0,12143000000.0,57000000.0,184000000.0,1098000000.0,5691000000.0,0.3412893553,4532000000.0,0.2717841079,-123000000.0,4409000000.0,0.2644077961,77000000.0,4332000000.0,0.2597901049,0.18,0.17,24680000000.0,25120000000.0,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000010/0001045810-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000010/nvda-20210131.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-26,NVDA,USD,0001045810,2020-02-20,2020-02-20 16:38:18,2020,FY,10918000000.0,4150000000.0,6768000000.0,0.6198937534,2829000000.0,0.0,0.0,1093000000.0,-2000000.0,3922000000.0,8072000000.0,178000000.0,52000000.0,381000000.0,3403000000.0,0.3116871222,2846000000.0,0.2606704525,124000000.0,2970000000.0,0.2720278439,174000000.0,2796000000.0,0.2560908591,0.12,0.11,24360000000.0,24720000000.0,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000010/0001045810-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000010/nvda-2020x10k.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-28,NVDA,USD,0001045810,2024-02-21,2024-02-21 16:36:57,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000029/0001045810-24-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000029/nvda-20240128.htm,balance-sheet-statement,7280000000.0,18704000000.0,25984000000.0,9999000000.0,5282000000.0,3080000000.0,44345000000.0,5260000000.0,4430000000.0,1112000000.0,5542000000.0,1546000000.0,6081000000.0,2954000000.0,21383000000.0,0.0,65728000000.0,2699000000.0,1478000000.0,296000000.0,764000000.0,5394000000.0,10631000000.0,9578000000.0,573000000.0,462000000.0,1506000000.0,12119000000.0,0.0,1347000000.0,22750000000.0,0.0,2000000.0,29817000000.0,27000000.0,13132000000.0,42978000000.0,42978000000.0,65728000000.0,0.0,65728000000.0,20250000000.0,11056000000.0,3776000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-29,NVDA,USD,0001045810,2023-02-24,2023-02-24 17:23:43,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000017/0001045810-23-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000017/nvda-20230129.htm,balance-sheet-statement,3389000000.0,9907000000.0,13296000000.0,3827000000.0,5159000000.0,791000000.0,23073000000.0,4845000000.0,4372000000.0,1676000000.0,6048000000.0,299000000.0,3396000000.0,3521000000.0,18109000000.0,0.0,41182000000.0,1193000000.0,1426000000.0,467000000.0,354000000.0,3123000000.0,6563000000.0,10605000000.0,218000000.0,247000000.0,1448000000.0,12518000000.0,0.0,1078000000.0,19081000000.0,0.0,2000000.0,10171000000.0,-43000000.0,11971000000.0,22101000000.0,22101000000.0,41182000000.0,0.0,41182000000.0,10206000000.0,11855000000.0,8466000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-30,NVDA,USD,0001045810,2022-03-18,2022-03-17 20:33:34,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000036/0001045810-22-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000036/nvda-20220130.htm,balance-sheet-statement,1990000000.0,19218000000.0,21208000000.0,4650000000.0,2605000000.0,732000000.0,28829000000.0,3607000000.0,4349000000.0,2339000000.0,6688000000.0,266000000.0,1222000000.0,3575000000.0,15358000000.0,0.0,44187000000.0,1783000000.0,144000000.0,132000000.0,300000000.0,1976000000.0,4335000000.0,12428000000.0,202000000.0,245000000.0,365000000.0,13240000000.0,0.0,885000000.0,17575000000.0,0.0,3000000.0,16235000000.0,-11000000.0,10385000000.0,26612000000.0,26612000000.0,44187000000.0,0.0,44187000000.0,19484000000.0,11687000000.0,9697000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-31,NVDA,USD,0001045810,2021-02-26,2021-02-26 17:03:14,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000010/0001045810-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000010/nvda-20210131.htm,balance-sheet-statement,847000000.0,10714000000.0,11561000000.0,2429000000.0,1826000000.0,478000000.0,16055000000.0,2856000000.0,4193000000.0,2737000000.0,6930000000.0,144000000.0,806000000.0,2000000000.0,12736000000.0,0.0,28791000000.0,1149000000.0,1120000000.0,61000000.0,288000000.0,1307000000.0,3925000000.0,7232000000.0,163000000.0,241000000.0,337000000.0,7973000000.0,0.0,755000000.0,11898000000.0,0.0,1000000.0,18908000000.0,19000000.0,-2035000000.0,16893000000.0,16893000000.0,28791000000.0,0.0,28791000000.0,10858000000.0,7597000000.0,6750000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-26,NVDA,USD,0001045810,2020-02-20,2020-02-20 16:38:18,2020,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000010/0001045810-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000010/nvda-2020x10k.htm,balance-sheet-statement,10896000000.0,1000000.0,10897000000.0,1657000000.0,979000000.0,314000000.0,13690000000.0,2292000000.0,618000000.0,49000000.0,667000000.0,77000000.0,548000000.0,41000000.0,3625000000.0,0.0,17315000000.0,687000000.0,91000000.0,61000000.0,141000000.0,804000000.0,1784000000.0,3113000000.0,60000000.0,29000000.0,125000000.0,3327000000.0,0.0,652000000.0,5111000000.0,0.0,1000000.0,14971000000.0,1000000.0,-2769000000.0,12204000000.0,12204000000.0,17315000000.0,0.0,17315000000.0,1000000.0,2552000000.0,-8344000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
