date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,Statement_Type,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-07-31,PANW,USD,0001327567,2024-09-06,2024-09-06 16:14:01,2024,FY,8027500000.0,2059199999.0,5968300001.0,0.7434817815,1809400000.0,680500000.0,2794500000.0,3475000000.0,0.0,5284400001.0,7343600000.0,317900000.0,8300000.0,283300000.0,1279900000.0,0.159439427,683900000.0,0.0851946434,304400000.0,988300000.0,0.1231142946,-1589300000.0,2577600000.0,0.3210962317,4.04,3.64,638400000.0,708000000.0,https://www.sec.gov/Archives/edgar/data/1327567/000132756724000029/0001327567-24-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1327567/000132756724000029/panw-20240731.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-31,PANW,USD,0001327567,2023-09-01,2023-09-01 16:15:43,2023,FY,6892700000.0,1909700000.0,4983000000.0,0.7229387613,1604000000.0,447700000.0,2544000000.0,2991700000.0,206200000.0,4595700000.0,6505400000.0,224400000.0,27200000.0,332100000.0,387300000.0,0.056189882,387300000.0,0.056189882,179000000.0,566300000.0,0.082159386,126600000.0,439700000.0,0.0637921279,0.725,0.64,606400000.0,684600000.0,https://www.sec.gov/Archives/edgar/data/1327567/000132756723000024/0001327567-23-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1327567/000132756723000024/panw-20230731.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-31,PANW,USD,0001327567,2022-09-06,2022-09-06 16:07:52,2022,FY,5501500000.0,1718700000.0,3782800000.0,0.6875942925,1417700000.0,405000000.0,2148900000.0,2553900000.0,9000000.0,3971600000.0,5690300000.0,15600000.0,27400000.0,337000000.0,95600000.0,0.017377079,-188800000.0,-0.0343179133,-18400000.0,-207200000.0,-0.0376624557,59800000.0,-267000000.0,-0.0485322185,-0.45,-0.45,590999988.0,590999988.0,https://www.sec.gov/Archives/edgar/data/1327567/000132756722000028/0001327567-22-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1327567/000132756722000028/panw-20220731.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-31,PANW,USD,0001327567,2021-09-03,2021-09-03 16:42:39,2021,FY,4256100000.0,1274900000.0,2981200000.0,0.7004534668,1140400000.0,391100000.0,1753800000.0,2144900000.0,2400000.0,3285300000.0,4560200000.0,8500000.0,163300000.0,304900000.0,-46600000.0,-0.0109489909,-304100000.0,-0.0714503889,-160900000.0,-465000000.0,-0.1092549517,33900000.0,-498900000.0,-0.1172199901,-0.865,-0.865,578399988.0,578399988.0,https://www.sec.gov/Archives/edgar/data/1327567/000132756721000029/0001327567-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1327567/000132756721000029/panw-20210731.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-31,PANW,USD,0001327567,2020-09-04,2020-09-04 16:27:32,2020,FY,3408400000.0,999500000.0,2408900000.0,0.7067539021,768100000.0,299600000.0,1520200000.0,1819800000.0,35900000.0,2587900000.0,3587400000.0,41400000.0,88700000.0,507900000.0,364800000.0,0.1070296914,-179000000.0,-0.0525173102,-52800000.0,-231800000.0,-0.0680084497,35200000.0,-267000000.0,-0.0783358761,-0.46,-0.46,581399988.0,581399988.0,https://www.sec.gov/Archives/edgar/data/1327567/000132756720000032/0001327567-20-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1327567/000132756720000032/panw-20200731.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-31,PANW,USD,0001327567,2024-09-06,2024-09-06 16:14:01,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1327567/000132756724000029/0001327567-24-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1327567/000132756724000029/panw-20240731.htm,balance-sheet-statement,1535200000.0,1043599999.0,2578800000.0,3344500000.0,0.0,926400000.0,6849700000.0,747000000.0,3350100000.0,374900000.0,3725000000.0,4173200000.0,2399000000.0,2097000000.0,13141200000.0,0.0,19990900000.0,116300000.0,1077800000.0,0.0,5541100000.0,1061400000.0,7682700000.0,380500000.0,5939400000.0,387700000.0,430900000.0,7138500000.0,0.0,494400000.0,14821200000.0,0.0,3821100000.0,1350200000.0,-1600000.0,0.0,5169700000.0,5169700000.0,19990900000.0,0.0,19990900000.0,5216800000.0,1410300000.0,-124900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-31,PANW,USD,0001327567,2023-09-01,2023-09-01 16:15:43,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1327567/000132756723000024/0001327567-23-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1327567/000132756723000024/panw-20230731.htm,balance-sheet-statement,1135300000.0,1254700000.0,2390000000.0,2852000000.0,339200000.0,806000000.0,6048000000.0,617800000.0,2926800000.0,315400000.0,3242200000.0,3047900000.0,1200400000.0,344800000.0,8453100000.0,0.0,14501100000.0,132300000.0,1991500000.0,0.0,4674600000.0,939100000.0,7737500000.0,279200000.0,4621800000.0,28100000.0,114200000.0,5015200000.0,0.0,279200000.0,12752700000.0,0.0,3019000000.0,-1227400000.0,-43200000.0,0.0,1748400000.0,1748400000.0,14501100000.0,0.0,14501100000.0,4302600000.0,2270700000.0,1135400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-31,PANW,USD,0001327567,2022-09-06,2022-09-06 16:07:52,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1327567/000132756722000028/0001327567-22-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1327567/000132756722000028/panw-20220731.htm,balance-sheet-statement,2118500000.0,1516000000.0,3634500000.0,2142500000.0,1.0,637900000.0,6414900000.0,599800000.0,2747700000.0,384500000.0,3132200000.0,1051900000.0,0.0,1054800000.0,5838700000.0,0.0,12253600000.0,128000000.0,3676800000.999999,0.0,3641200000.0,860299999.0,8306300000.0,276100000.0,3352800000.0,0.0,108400000.0,3737300000.0,0.0,276100000.99999905,12043600000.0,0.0,1932700000.0,-1667100000.0,-55600000.0,0.0,210000000.0,210000000.0,12253600000.0,0.0,12253600000.0,2567900000.0,3952900000.0,1834400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-31,PANW,USD,0001327567,2021-09-03,2021-09-03 16:42:39,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1327567/000132756721000029/0001327567-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1327567/000132756721000029/panw-20210731.htm,balance-sheet-statement,1874200000.0,1026900000.0,2901100000.0,1240400000.0,0.0,505800000.0,4647300000.0,581300000.0,2710100000.0,498600000.0,3208700000.0,888300000.0,494600000.0,421400000.0,5594300000.0,0.0,10241600000.0,56900000.0,1557900000.0,0.0,2741900000.0,760000000.0,5116700000.0,1981500000.0,2282100000.0,0.0,97700000.0,4361300000.0,0.0,313400000.0,9478000000.0,0.0,2311200000.0,-1666800000.0,-9900000.0,0.0,763600000.0,763600000.0,10241600000.0,0.0,10241600000.0,1915200000.0,3539400000.0,1665200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-31,PANW,USD,0001327567,2020-09-04,2020-09-04 16:27:32,2020,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1327567/000132756720000032/0001327567-20-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1327567/000132756720000032/panw-20200731.htm,balance-sheet-statement,2958000000.0,789800000.0,3747800000.0,1037099999.0,2.0,344300001.0,5129200000.0,606800000.0,1812900000.0,358200000.0,2171100000.0,554400000.0,0.0,603900000.0,3936200000.0,0.0,9065400000.0,63600000.0,0.0,0.0,2049100000.0,579000000.0,2691700000.0,3420700000.0,1761100000.0,0.0,90100000.0,5271900000.0,0.0,336600000.0,7963600000.0,0.0,2259200000.0,-1167900000.0,10500000.0,0.0,1101800000.0,1101800000.0,9065400000.0,0.0,9065400000.0,1344200000.0,3420700000.0,462700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-31,PANW,USD,0001327567,2024-09-06,2024-09-06 16:14:01,2024,FY,,,,,,,,,,,,,,283300000.0,,,,,,,,,2577600000.0,,,,,,https://www.sec.gov/Archives/edgar/data/1327567/000132756724000029/0001327567-24-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1327567/000132756724000029/panw-20240731.htm,cash-flow-statement,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2033700000.0,1075400000.0,910300000.0,-1020200000.0,-15000000.0,1945500000.0,444700000.0,3257600000.0,-156800000.0,-610600000.0,-3551300000.0,2808800000.0,0.0,-1509900000.0,-1033700000.0,0.0,-566700000.0,0.0,257300000.0,-1343100000.0,0.0,404600000.0,1546800000.0,1142200000.0,3257600000.0,-156800000.0,3100800000.0
2023-07-31,PANW,USD,0001327567,2023-09-01,2023-09-01 16:15:43,2023,FY,,,,,,,,,,,,,,282200000.0,,,,,,,,,439700000.0,,,,,,https://www.sec.gov/Archives/edgar/data/1327567/000132756723000024/0001327567-23-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1327567/000132756723000024/panw-20230731.htm,cash-flow-statement,,,,,-1071600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1910100000.0,1074500000.0,563300000.0,-320300000.0,1000000.0,1954200000.0,-1492300000.0,2777500000.0,-146300000.0,-204500000.0,-5460400000.0,3777400000.0,-1683000000.0,-2033800000.0,-1692000000.0,0.0,-272700000.0,0.0,238400000.0,-1726300000.0,539600000.0,-982600000.0,1142200000.0,2124800000.0,2777500000.0,-146300000.0,2631200000.0
2022-07-31,PANW,USD,0001327567,2022-09-06,2022-09-06 16:07:52,2022,FY,,,,,,,,,,,,,,282600000.0,,,,,,,,,-267000000.0,,,,,,https://www.sec.gov/Archives/edgar/data/1327567/000132756722000028/0001327567-22-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1327567/000132756722000028/panw-20220731.htm,cash-flow-statement,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3100000.0,1011100000.0,520800000.0,-902000000.0,69300000.0,1353500000.0,437200000.0,1984700000.0,-192800000.0,-37000000.0,-2271700000.0,1568100000.0,-703600000.0,-933400000.0,-600000.0,0.0,-892300000.0,0.0,86300000.0,-806600000.0,0.0,244700000.0,2124800000.0,1880100000.0,1984700000.0,-192800000.0,1791900000.0
2021-07-31,PANW,USD,0001327567,2021-09-03,2021-09-03 16:42:39,2021,FY,,,,,,,,,,,,,,304900000.0,,,,,,,,,-498900000.0,,,,,,https://www.sec.gov/Archives/edgar/data/1327567/000132756721000029/0001327567-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1327567/000132756721000029/panw-20210731.htm,cash-flow-statement,,,,,-327600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13100000.0,894500000.0,348600000.0,-172400000.0,-11800000.0,860400000.0,440800000.0,1503000000.0,-116000000.0,-777300000.0,-1958900000.0,1371600000.0,-587300000.0,-1480600000.0,-900000.0,0.0,-1178100000.0,0.0,75000000.0,-1104000000.0,0.0,-1081600000.0,1880100000.0,2961700000.0,1503000000.0,-116000000.0,1387000000.0
2020-07-31,PANW,USD,0001327567,2020-09-04,2020-09-04 16:27:32,2020,FY,,,,,,,,,,,,,,253500000.0,,,,,,,,,-267000000.0,,,,,,https://www.sec.gov/Archives/edgar/data/1327567/000132756720000032/0001327567-20-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1327567/000132756720000032/panw-20200731.htm,cash-flow-statement,,,,,-448800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6200000.0,658400000.0,71800000.0,-435600000.0,-12800000.0,969000000.0,325200000.0,1035700000.0,-214400000.0,-583500000.0,-1180800000.0,2266700000.0,1085900000.0,288000000.0,1979100000.0,0.0,-1198100000.0,0.0,-108000000.0,673000000.0,0.0,1996700000.0,2961700000.0,965000000.0,1035700000.0,-214400000.0,821300000.0
