date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,Statement_Type,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2025-02-01,RH,USD,0001528849,2025-04-02,2025-04-02 16:59:08,2024,FY,3180753000.0,1765821000.0,1414932000.0,0.4448418346,0.0,0.0,0.0,1092345000.0,0.0,1092345000.0,2858166000.0,3901000.0,234502000.0,130191000.0,453284000.0,0.1425083935,322587000.0,0.1014184377,-233996000.0,88591000.0,0.0278522098,4799000.0,72412000.0,0.0227656784,3.92,3.62,18487319.0,19991599.0,https://www.sec.gov/Archives/edgar/data/1528849/000155837025004329/0001558370-25-004329-index.htm,https://www.sec.gov/Archives/edgar/data/1528849/000155837025004329/rh-20250201x10k.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-03,RH,USD,0001528849,2024-03-28,2024-03-28 16:07:04,2023,FY,3029126000.0,1640107000.0,1389019000.0,0.4585543817,0.0,896296000.0,107000000.0,1022948000.0,0.0,1022948000.0,2663055000.0,39603000.0,237899000.0,118989000.0,523585000.0,0.1728501885,366071000.0,0.1208503707,-199374000.0,166697000.0,0.0550313853,28261000.0,127561000.0,0.0421114869,6.42,5.91,19880576.0,21600478.0,https://www.sec.gov/Archives/edgar/data/1528849/000155837024004248/0001558370-24-004248-index.htm,https://www.sec.gov/Archives/edgar/data/1528849/000155837024004248/rh-20240203x10k.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-28,RH,USD,0001528849,2023-03-29,2023-03-29 17:11:45,2022,FY,3590477000.0,1778492000.0,1811985000.0,0.5046641435,0.0,1018828000.0,71000000.0,1089828000.0,-30000.0,1089828000.0,2868320000.0,38520000.0,113210000.0,183773000.0,774842000.0,0.2158047524,722157000.0,0.2011312146,-282818000.0,439339000.0,0.1223622934,-91358000.0,528642000.0,0.1472344761,22.47,19.9,23523065.0,26561988.0,https://www.sec.gov/Archives/edgar/data/1528849/000155837023004942/0001558370-23-004942-index.htm,https://www.sec.gov/Archives/edgar/data/1528849/000155837023004942/rh-20230128x10k.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-29,RH,USD,0001528849,2022-03-30,2022-03-30 16:26:53,2021,FY,3758820000.0,1903409000.0,1855411000.0,0.4936152835,0.0,888230000.0,40000000.0,928230000.0,-2778000.0,928230000.0,2831639000.0,1936000.0,64947000.0,168501000.0,1065702000.0,0.2835203601,927181000.0,0.2466681033,-96863000.0,830318000.0,0.2208985799,133558000.0,688546000.0,0.183181424,32.37,22.13,21270448.0,31113395.0,https://www.sec.gov/Archives/edgar/data/1528849/000155837022004753/0001558370-22-004753-index.htm,https://www.sec.gov/Archives/edgar/data/1528849/000155837022004753/rh-20220129x10k.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,RH,USD,0001528849,2021-03-30,2021-03-30 17:04:55,2020,FY,2848626000.0,1523095000.0,1325531000.0,0.4653229311,0.0,799673000.0,59000000.0,858673000.0,0.0,858673000.0,2381768000.0,1398000.0,67212000.0,164172000.0,612121000.0,0.2148828944,466858000.0,0.1638888362,-89557000.0,377301000.0,0.1324501707,104598000.0,271815000.0,0.0954196865,13.82,9.96,19668976.0,27302268.0,https://www.sec.gov/Archives/edgar/data/1528849/000155837021003728/0001558370-21-003728-index.htm,https://www.sec.gov/Archives/edgar/data/1528849/000155837021003728/rh-20210130x10k.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-01,RH,USD,0001528849,2025-04-02,2025-04-02 16:59:08,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1528849/000155837025004329/0001558370-25-004329-index.htm,https://www.sec.gov/Archives/edgar/data/1528849/000155837025004329/rh-20250201x10k.htm,balance-sheet-statement,30413000.0,0.0,30413000.0,114421000.0,1019591000.0,126906000.0,1291331000.0,2601223000.0,140943000.0,76118000.0,217061000.0,126909000.0,147723000.0,170442000.0,3263358000.0,0.0,4554689000.0,245260000.0,0.0,32907000.0,291815000.0,335144000.0,905126000.0,2586687000.0,0.0,10394000.0,1216071000.0,3813152000.0,0.0,0.0,4718278000.0,0.0,2000.0,-510852000.0,-15087000.0,362348000.0,-163589000.0,-163589000.0,4554689000.0,0.0,4554689000.0,126909000.0,3937889000.0,3907476000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-03,RH,USD,0001528849,2024-03-28,2024-03-28 16:07:04,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1528849/000155837024004248/0001558370-24-004248-index.htm,https://www.sec.gov/Archives/edgar/data/1528849/000155837024004248/rh-20240203x10k.htm,balance-sheet-statement,123688000.0,0.0,123688000.0,93597000.0,754126000.0,130491000.0,1101902000.0,2430556000.0,141033000.0,75927000.0,216960000.0,128668000.0,143986000.0,121825000.0,3041995000.0,0.0,4143897000.0,192345000.0,167026000.0,5810000.0,282812000.0,224875000.0,872868000.0,3549342000.0,0.0,12075000.0,7006000.0,3568423000.0,0.0,1243186000.0,4441291000.0,0.0,2000.0,-583264000.0,-1938000.0,287806000.0,-297394000.0,-297394000.0,4143897000.0,0.0,4143897000.0,128668000.0,3716368000.0,3592680000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-28,RH,USD,0001528849,2023-03-29,2023-03-29 17:11:45,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1528849/000155837023004942/0001558370-23-004942-index.htm,https://www.sec.gov/Archives/edgar/data/1528849/000155837023004942/rh-20230128x10k.htm,balance-sheet-statement,1511763000.0,0.0,1511763000.0,95755000.0,801841000.0,106967000.0,2512664000.0,2163230000.0,141048000.0,74633000.0,215681000.0,101468000.0,167039000.0,149207000.0,2796625000.0,0.0,5309289000.0,166082000.0,210752000.0,23265000.0,325754000.0,273481000.0,885973000.0,3624266000.0,0.0,6315000.0,8074000.0,3638655000.0,0.0,1256250000.0,4524628000.0,0.0,2000.0,539986000.0,-2403000.0,247076000.0,784661000.0,784661000.0,5309289000.0,0.0,5309289000.0,101468000.0,3625962000.0,2114199000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-29,RH,USD,0001528849,2022-03-30,2022-03-30 16:26:53,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1528849/000155837022004753/0001558370-22-004753-index.htm,https://www.sec.gov/Archives/edgar/data/1528849/000155837022004753/rh-20220129x10k.htm,balance-sheet-statement,2177889000.0,0.0,2177889000.0,81670000.0,734289000.0,121350000.0,3091442000.0,1778965000.0,141100000.0,73161000.0,214261000.0,100810000.0,354992000.0,0.0,2449028000.0,0.0,5540470000.0,242035000.0,135959000.0,56175000.0,534556000.0,629589000.0,1063758000.0,3297729000.0,-3471000.0,3471000.0,8706000.0,3306435000.0,0.0,1190408000.0,4370193000.0,0.0,2000.0,551108000.0,-1410000.0,620577000.0,1170277000.0,1170277000.0,5540470000.0,0.0,5540470000.0,100810000.0,3384552000.0,1206663000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,RH,USD,0001528849,2021-03-30,2021-03-30 17:04:55,2020,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1528849/000155837021003728/0001558370-21-003728-index.htm,https://www.sec.gov/Archives/edgar/data/1528849/000155837021003728/rh-20210130x10k.htm,balance-sheet-statement,100446000.0,0.0,100446000.0,59474000.0,544227000.0,97337000.0,801484000.0,1533362000.0,141100000.0,71663000.0,212763000.0,100603000.0,250101000.0,0.0,2096829000.0,0.0,2898313000.0,224906000.0,111296000.0,73245000.0,425686000.0,512185000.0,921632000.0,1512674000.0,-4461000.0,4461000.0,16981000.0,1529655000.0,0.0,1019845000.0,2451287000.0,0.0,2000.0,-137438000.0,2565000.0,581897000.0,447026000.0,447026000.0,2898313000.0,0.0,2898313000.0,100603000.0,1584198000.0,1483752000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
