date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,Statement_Type,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-12-31,TSLA,USD,0001318605,2025-04-30,2025-04-30 17:08:56,2024,FY,97690000000.0,80240000000.0,17450000000.0,0.1786262668,4540000000.0,0.0,0.0,5150000000.0,684000000.0,10374000000.0,90614000000.0,1569000000.0,350000000.0,5368000000.0,14708000000.0,0.1505578872,7076000000.0,0.0724332071,1914000000.0,8990000000.0,0.0920257959,1837000000.0,7130000000.0,0.072985976,2.23,2.04,3213000000.0,3517000000.0,https://www.sec.gov/Archives/edgar/data/1318605/000110465925042659/0001104659-25-042659-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000110465925042659/tm252787d2_10ka.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,TSLA,USD,0001318605,2024-01-29,2024-01-26 21:00:20,2023,FY,96773000000.0,79113000000.0,17660000000.0,0.1824889174,3969000000.0,0.0,0.0,4800000000.0,0.0,8769000000.0,87882000000.0,1066000000.0,156000000.0,4667000000.0,14796000000.0,0.1528938857,8891000000.0,0.0918747998,1082000000.0,9973000000.0,0.1030556044,-5001000000.0,14999000000.0,0.1549915782,4.73,4.3,3174000000.0,3485000000.0,https://www.sec.gov/Archives/edgar/data/1318605/000162828024002390/0001628280-24-002390-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000162828024002390/tsla-20231231.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,TSLA,USD,0001318605,2023-01-31,2023-01-30 21:29:15,2022,FY,81462000000.0,60609000000.0,20853000000.0,0.2559843854,3075000000.0,0.0,0.0,3946000000.0,176000000.0,7197000000.0,67806000000.0,297000000.0,191000000.0,3747000000.0,17657000000.0,0.2167513687,13656000000.0,0.167636444,63000000.0,13719000000.0,0.1684098107,1132000000.0,12583000000.0,0.1544646584,4.02,3.62,3130000000.0,3475000000.0,https://www.sec.gov/Archives/edgar/data/1318605/000095017023001409/0000950170-23-001409-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000095017023001409/tsla-20221231.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,TSLA,USD,0001318605,2022-05-02,2022-04-29 18:05:17,2021,FY,53823000000.0,40217000000.0,13606000000.0,0.2527915575,2593000000.0,0.0,0.0,4517000000.0,-27000000.0,7110000000.0,47327000000.0,56000000.0,371000000.0,2911000000.0,9625000000.0,0.1788268956,6523000000.0,0.1211935418,-180000000.0,6343000000.0,0.1178492466,699000000.0,5524000000.0,0.1026327035,1.87,1.63,2959000000.0,3386000000.0,https://www.sec.gov/Archives/edgar/data/1318605/000156459022016871/0001564590-22-016871-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459022016871/tsla-10ka_20211231.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,TSLA,USD,0001318605,2021-02-08,2021-02-08 07:27:23,2020,FY,31536000000.0,24906000000.0,6630000000.0,0.2102359209,1491000000.0,0.0,0.0,3145000000.0,0.0,4636000000.0,29542000000.0,30000000.0,748000000.0,2322000000.0,4224000000.0,0.1339421613,1994000000.0,0.0632293252,-840000000.0,1154000000.0,0.0365930999,292000000.0,721000000.0,0.02286276,0.25,0.21,2799000000.0,3249000000.0,https://www.sec.gov/Archives/edgar/data/1318605/000156459021004599/0001564590-21-004599-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459021004599/tsla-10k_20201231.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,TSLA,USD,0001318605,2025-04-30,2025-04-30 17:08:56,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1318605/000110465925042659/0001104659-25-042659-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000110465925042659/tm252787d2_10ka.htm,balance-sheet-statement,16139000000.0,20424000000.0,36563000000.0,4418000000.0,12017000000.0,5362000000.0,58360000000.0,51507000000.0,244000000.0,1226000000.0,1470000000.0,,6524000000.0,4215000000.0,63716000000.0,-6000000.0,122070000000.0,12474000000.0,3263000000.0,,4161000000.0,8923000000.0,28821000000.0,10360000000.0,3317000000.0,,5892000000.0,19569000000.0,0.0,5745000000.0,48390000000.0,0.0,3000000.0,35209000000.0,-670000000.0,38371000000.0,72913000000.0,73680000000.0,122070000000.0,767000000.0,122070000000.0,20424000000.0,13623000000.0,-2516000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,TSLA,USD,0001318605,2024-01-29,2024-01-26 21:00:20,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1318605/000162828024002390/0001628280-24-002390-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000162828024002390/tsla-20231231.htm,balance-sheet-statement,16398000000.0,12696000000.0,29094000000.0,3508000000.0,13626000000.0,3388000000.0,49616000000.0,45123000000.0,253000000.0,362000000.0,615000000.0,0.0,6733000000.0,4531000000.0,57002000000.0,0.0,106618000000.0,14431000000.0,3045000000.0,1204000000.0,3740000000.0,6328000000.0,28748000000.0,6528000000.0,3251000000.0,0.0,4482000000.0,14261000000.0,0.0,4916000000.0,43009000000.0,0.0,3000000.0,27882000000.0,-143000000.0,34892000000.0,62634000000.0,63609000000.0,106618000000.0,975000000.0,106618000000.0,12696000000.0,9573000000.0,-6825000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,TSLA,USD,0001318605,2023-01-31,2023-01-30 21:29:15,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1318605/000095017023001409/0000950170-23-001409-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000095017023001409/tsla-20221231.htm,balance-sheet-statement,16253000000.0,5932000000.0,22185000000.0,2952000000.0,12839000000.0,2941000000.0,40917000000.0,36635000000.0,194000000.0,399000000.0,593000000.0,0.0,328000000.0,3865000000.0,41421000000.0,0.0,82338000000.0,15255000000.0,1987000000.0,1235000000.0,2810000000.0,5422000000.0,26709000000.0,3761000000.0,2804000000.0,82000000.0,3084000000.0,9731000000.0,0.0,3703000000.0,36440000000.0,0.0,3000000.0,12885000000.0,-361000000.0,32177000000.0,44704000000.0,45898000000.0,82338000000.0,1194000000.0,82338000000.0,5932000000.0,5748000000.0,-10505000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,TSLA,USD,0001318605,2022-05-02,2022-04-29 18:05:17,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1318605/000156459022016871/0001564590-22-016871-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459022016871/tsla-10ka_20211231.htm,balance-sheet-statement,17576000000.0,131000000.0,17707000000.0,1913000000.0,5757000000.0,1723000000.0,27100000000.0,31176000000.0,200000000.0,1517000000.0,1717000000.0,0.0,0.0,2134000000.0,35027000000.0,4000000.0,62131000000.0,10025000000.0,1957000000.0,1122000000.0,2372000000.0,4229000000.0,19705000000.0,6916000000.0,2052000000.0,24000000.0,1875000000.0,10843000000.0,0.0,3531000000.0,30548000000.0,0.0,1000000.0,329000000.0,54000000.0,29805000000.0,30189000000.0,31583000000.0,62131000000.0,1394000000.0,62131000000.0,131000000.0,8873000000.0,-8703000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,TSLA,USD,0001318605,2021-02-08,2021-02-08 07:27:23,2020,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1318605/000156459021004599/0001564590-21-004599-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459021004599/tsla-10k_20201231.htm,balance-sheet-statement,19384000000.0,0.0,19384000000.0,1886000000.0,4101000000.0,1346000000.0,26717000000.0,23378000000.0,207000000.0,313000000.0,520000000.0,0.0,0.0,1536000000.0,25434000000.0,-3000000.0,52148000000.0,6051000000.0,2418000000.0,777000000.0,2210000000.0,2792000000.0,14248000000.0,10861000000.0,1284000000.0,151000000.0,1925000000.0,14221000000.0,0.0,3008000000.0,28469000000.0,0.0,1000000.0,-5399000000.0,363000000.0,27260000000.0,22225000000.0,23679000000.0,52148000000.0,1454000000.0,52148000000.0,613000000.0,13279000000.0,-6105000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,TSLA,USD,0001318605,2025-04-30,2025-04-30 17:08:56,2024,FY,,,,,,,,,,,,,,5368000000.0,,,,,,,,,7153000000.0,,,,,,https://www.sec.gov/Archives/edgar/data/1318605/000110465925042659/0001104659-25-042659-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000110465925042659/tm252787d2_10ka.htm,cash-flow-statement,,,,,937000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477000000.0,1999000000.0,81000000.0,-1083000000.0,3588000000.0,-3361000000.0,-155000000.0,14923000000.0,-11342000000.0,0.0,-35955000000.0,28510000000.0,0.0,-18787000000.0,2863000000.0,0.0,0.0,0.0,990000000.0,3853000000.0,-141000000.0,-152000000.0,17037000000.0,17189000000.0,14923000000.0,-11342000000.0,3581000000.0
2023-12-31,TSLA,USD,0001318605,2024-01-29,2024-01-26 21:00:20,2023,FY,,,,,,,,,,,,,,4667000000.0,,,,,,,,,14974000000.0,,,,,,https://www.sec.gov/Archives/edgar/data/1318605/000162828024002390/0001628280-24-002390-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000162828024002390/tsla-20231231.htm,cash-flow-statement,,,,,-1195000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6349000000.0,1812000000.0,-2248000000.0,-586000000.0,2605000000.0,-3072000000.0,400000000.0,13256000000.0,-8899000000.0,-64000000.0,-19112000000.0,12491000000.0,0.0,-15584000000.0,2116000000.0,0.0,0.0,0.0,473000000.0,2589000000.0,4000000.0,265000000.0,17189000000.0,16924000000.0,13256000000.0,-8899000000.0,4357000000.0
2022-12-31,TSLA,USD,0001318605,2023-01-31,2023-01-30 21:29:15,2022,FY,,,,,,,,,,,,,,3543000000.0,,,,,,,,,12556000000.0,,,,,,https://www.sec.gov/Archives/edgar/data/1318605/000095017023001409/0000950170-23-001409-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000095017023001409/tsla-20221231.htm,cash-flow-statement,,,,,-6465000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1560000000.0,-3712000000.0,-1124000000.0,6029000000.0,-2152000000.0,777000000.0,14724000000.0,-7163000000.0,0.0,-5835000000.0,22000000.0,1003000000.0,-11973000000.0,-3866000000.0,0.0,0.0,0.0,-202000000.0,-3527000000.0,-444000000.0,-1220000000.0,16924000000.0,18144000000.0,14724000000.0,-7172000000.0,7552000000.0
2021-12-31,TSLA,USD,0001318605,2022-05-02,2022-04-29 18:05:17,2021,FY,,,,,,,,,,,,,,2911000000.0,,,,,,,,,5519000000.0,,,,,,https://www.sec.gov/Archives/edgar/data/1318605/000156459022016871/0001564590-22-016871-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459022016871/tsla-10ka_20211231.htm,cash-flow-statement,,,,,-1709000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-149000000.0,2121000000.0,667000000.0,-130000000.0,4578000000.0,-2072000000.0,428000000.0,11497000000.0,-6514000000.0,0.0,-132000000.0,0.0,-1222000000.0,-7868000000.0,-5732000000.0,0.0,0.0,0.0,-178000000.0,-5203000000.0,-183000000.0,-1757000000.0,18144000000.0,19901000000.0,11497000000.0,-8014000000.0,3483000000.0
2020-12-31,TSLA,USD,0001318605,2021-02-08,2021-02-08 07:27:23,2020,FY,,,,,,,,,,,,,,2322000000.0,,,,,,,,,690000000.0,,,,,,https://www.sec.gov/Archives/edgar/data/1318605/000156459021004599/0001564590-21-004599-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459021004599/tsla-10k_20201231.htm,cash-flow-statement,,,,,-422000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1734000000.0,184000000.0,-652000000.0,930000000.0,328000000.0,1013000000.0,5943000000.0,-3232000000.0,-13000000.0,0.0,0.0,113000000.0,-3132000000.0,-2488000000.0,12269000000.0,0.0,0.0,192000000.0,9973000000.0,334000000.0,13118000000.0,19901000000.0,6783000000.0,5943000000.0,-3242000000.0,2701000000.0
