date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,Statement_Type,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,preferredStock,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalEquity,totalLiabilitiesAndStockholdersEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow
2024-12-31,VST,USD,0001692819,2025-02-28,2025-02-27 18:59:13,2024,FY,17224000000.0,9699000000.0,7525000000.0,0.4368903855,0.0,0.0,0.0,1601000000.0,1843000000.0,3444000000.0,13143000000.0,65000000.0,859000000.0,2631000000.0,6957000000.0,0.4039131444,4081000000.0,0.2369368323,-614000000.0,3467000000.0,0.2012888992,655000000.0,2659000000.0,0.1543776126,7.16,7.0,344788634.0,352567060.0,https://www.sec.gov/Archives/edgar/data/1692819/000169281925000013/0001692819-25-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1692819/000169281925000013/vistra-20241231.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,VST,USD,0001692819,2024-02-29,2024-02-28 21:35:37,2023,FY,14779000000.0,9259000000.0,5520000000.0,0.3735029434,0.0,0.0,0.0,1308000000.0,1551000000.0,2859000000.0,12118000000.0,86000000.0,749000000.0,1956000000.0,4573000000.0,0.3094255362,2661000000.0,0.1800527776,-661000000.0,2000000000.0,0.1353271534,508000000.0,1493000000.0,0.10102172,3.63,3.58,369771359.0,375193110.0,https://www.sec.gov/Archives/edgar/data/1692819/000169281924000012/0001692819-24-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1692819/000169281924000012/vistra-20231231.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,VST,USD,0001692819,2023-03-01,2023-03-01 09:41:10,2022,FY,13728000000.0,12046000000.0,1682000000.0,0.12252331,0.0,1142000000.0,47000000.0,1189000000.0,1596000000.0,2785000000.0,14831000000.0,19000000.0,368000000.0,1994000000.0,1287000000.0,0.09375,-1118000000.0,-0.0814393939,-383000000.0,-1560000000.0,-0.1136363636,-350000000.0,-1210000000.0,-0.0881410256,-2.86,-2.86,422447074.0,422447074.0,https://www.sec.gov/Archives/edgar/data/1692819/000169281923000005/0001692819-23-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1692819/000169281923000005/vistra-20221231.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,VST,USD,0001692819,2022-02-25,2022-02-25 07:47:08,2021,FY,12077000000.0,10728000000.0,1349000000.0,0.1116999255,0.0,992000000.0,48000000.0,1040000000.0,1753000000.0,2793000000.0,13521000000.0,350000000.0,384000000.0,1976000000.0,782000000.0,0.0647511799,-1267000000.0,-0.1049101598,-270000000.0,-1722000000.0,-0.1425850791,-458000000.0,-1264000000.0,-0.1046617537,-2.62,-2.62,482214544.0,482214544.0,https://www.sec.gov/Archives/edgar/data/1692819/000169281922000005/0001692819-22-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1692819/000169281922000005/vistra-20211231.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,VST,USD,0001692819,2021-02-26,2021-02-26 07:45:49,2020,FY,11443000000.0,6796000000.0,4647000000.0,0.406099799,0.0,992000000.0,43000000.0,1035000000.0,1737000000.0,2772000000.0,9568000000.0,2000000.0,446000000.0,1977000000.0,3163000000.0,0.2764135279,1519000000.0,0.1327449096,-629000000.0,890000000.0,0.0777768068,266000000.0,636000000.0,0.0555798305,1.3,1.3,488668263.0,491090468.0,https://www.sec.gov/Archives/edgar/data/1692819/000169281921000004/0001692819-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1692819/000169281921000004/vistra-20201231.htm,income-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,VST,USD,0001692819,2025-02-28,2025-02-27 18:59:13,2024,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1692819/000169281925000013/0001692819-25-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1692819/000169281925000013/vistra-20241231.htm,balance-sheet-statement,1188000000.0,0.0,1188000000.0,1990000000.0,970000000.0,4703000000.0,8119000000.0,18173000000.0,2807000000.0,2213000000.0,5020000000.0,4512000000.0,9000000.0,1937000000.0,29651000000.0,0.0,37770000000.0,1510000000.0,1630000000.0,209000000.0,0.0,5083000000.0,8432000000.0,316000000.0,0.0,697000000.0,22742000000.0,23755000000.0,0.0,316000000.0,32187000000.0,0.0,0.0,0.0,0.0,0.0,5570000000.0,5570000000.0,37770000000.0,0.0,37770000000.0,4512000000.0,17364000000.0,16176000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,VST,USD,0001692819,2024-02-29,2024-02-28 21:35:37,2023,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1692819/000169281924000012/0001692819-24-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1692819/000169281924000012/vistra-20231231.htm,balance-sheet-statement,3485000000.0,0.0,3485000000.0,1680000000.0,740000000.0,5732000000.0,11637000000.0,12482000000.0,2583000000.0,1864000000.0,4447000000.0,2035000000.0,1223000000.0,1142000000.0,21329000000.0,0.0,32966000000.0,1147000000.0,2293000000.0,203000000.0,0.0,6180000000.0,9823000000.0,12391000000.0,0.0,1000000.0,5429000000.0,17821000000.0,0.0,282000000.0,27644000000.0,2476000000.0,5000000.0,-2613000000.0,6000000.0,5433000000.0,5307000000.0,5322000000.0,32966000000.0,15000000.0,32966000000.0,2035000000.0,14684000000.0,11199000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,VST,USD,0001692819,2023-03-01,2023-03-01 09:41:10,2022,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1692819/000169281923000005/0001692819-23-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1692819/000169281923000005/vistra-20221231.htm,balance-sheet-statement,455000000.0,92000000.0,455000000.0,2086000000.0,570000000.0,8005000000.0,11116000000.0,12605000000.0,2583000000.0,1958000000.0,4541000000.0,1729000000.0,1710000000.0,1086000000.0,21671000000.0,0.0,32787000000.0,1556000000.0,1121000000.0,199000000.0,1710000000.0,7461000000.0,10337000000.0,12215000000.0,1000000.0,1000000.0,5316000000.0,17532000000.0,0.0,290000000.0,27869000000.0,2000000000.0,5000000.0,-3643000000.0,7000000.0,6533000000.0,4902000000.0,4918000000.0,32787000000.0,16000000.0,32787000000.0,1729000000.0,13336000000.0,12881000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,VST,USD,0001692819,2022-02-25,2022-02-25 07:47:08,2021,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1692819/000169281922000005/0001692819-22-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1692819/000169281922000005/vistra-20211231.htm,balance-sheet-statement,1325000000.0,14000000.0,1325000000.0,1956000000.0,610000000.0,3992000000.0,7883000000.0,13096000000.0,2583000000.0,2146000000.0,4729000000.0,2049000000.0,1302000000.0,624000000.0,21800000000.0,0.0,29683000000.0,1515000000.0,259000000.0,207000000.0,454000000.0,3862000000.0,5843000000.0,10750000000.0,-767000000.0,767000000.0,4798000000.0,15548000000.0,0.0,278000000.0,21391000000.0,2000000000.0,5000000.0,-1964000000.0,-16000000.0,8266000000.0,8291000000.0,8292000000.0,29683000000.0,1000000.0,29683000000.0,2049000000.0,11009000000.0,9684000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,VST,USD,0001692819,2021-02-26,2021-02-26 07:45:49,2020,FY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.gov/Archives/edgar/data/1692819/000169281921000004/0001692819-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1692819/000169281921000004/vistra-20201231.htm,balance-sheet-statement,406000000.0,19000000.0,406000000.0,1279000000.0,515000000.0,1229000000.0,3429000000.0,13545000000.0,2583000000.0,2445000000.0,5028000000.0,1759000000.0,838000000.0,609000000.0,21779000000.0,0.0,25208000000.0,880000000.0,403000000.0,226000000.0,460000000.0,1527000000.0,3036000000.0,9481000000.0,3550000000.0,1000000.0,4329000000.0,13811000000.0,0.0,254000000.0,16847000000.0,0.0,5000000.0,-399000000.0,-48000000.0,8813000000.0,8371000000.0,8361000000.0,25208000000.0,-10000000.0,25208000000.0,1759000000.0,9884000000.0,9478000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,VST,USD,0001692819,2025-02-28,2025-02-27 18:59:13,2024,FY,,,,,,,,,,,,,,2631000000.0,,,,,,,,,2812000000.0,,,,,,https://www.sec.gov/Archives/edgar/data/1692819/000169281925000013/0001692819-25-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1692819/000169281925000013/vistra-20241231.htm,cash-flow-statement,,,,,-31000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,607000000.0,100000000.0,0.0,-242000000.0,19000000.0,0.0,-1587000000.0,4563000000.0,0.0,-3065000000.0,-2239000000.0,2216000000.0,-2188000000.0,-5276000000.0,1530000000.0,0.0,-1266000000.0,-478000000.0,-1390000000.0,-1604000000.0,0.0,-2317000000.0,1222000000.0,3539000000.0,4563000000.0,0.0,2485000000.0
2023-12-31,VST,USD,0001692819,2024-02-29,2024-02-28 21:35:37,2023,FY,,,,,,,,,,,,,,1956000000.0,,,,,,,,,1492000000.0,,,,,,https://www.sec.gov/Archives/edgar/data/1692819/000169281924000012/0001692819-24-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1692819/000169281924000012/vistra-20231231.htm,cash-flow-statement,,,,,-174000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621000000.0,77000000.0,1853000000.0,214000000.0,-350000000.0,2163000000.0,-546000000.0,5453000000.0,-1676000000.0,0.0,-624000000.0,601000000.0,-446000000.0,-2145000000.0,1815000000.0,0.0,-1245000000.0,-463000000.0,-401000000.0,-294000000.0,0.0,3014000000.0,3539000000.0,525000000.0,5453000000.0,-1676000000.0,3777000000.0
